R,redcap,full,plottype
ptid,participant_id,Participant ID,
redcapid,redcap_survey_identifier,Survey Identifier,
timestamp_s1,cera_survey_1_timestamp,Survey Timestamp,
read_pt_info_now,do_you_want_to_read_the_in,Do you want to read the participant information sheet now?,
consent_s1,consent___1,"By checking this box, I certify that I am at least 18 years old and that I give my consent freely to participate in this study. (choice=I consent)",
email,email,"What is your e-mail address?     (This will only be used for the delivery of survey 2 + 3, which you will receive over the coming months)",
hosp,hosp,"What is the name of the hospital where you currently work?  Please type and your hospital should appear, if not present select 'other'",
ft_hosp,specify,"You have selected other, please specify.",
grade,grade,What is your professional grade?   ,bar
ft_grade,grade_other,"You have selected other, please specify.",
gender,grade_2,What is your gender?  ,bar
age,grade_3,How old are you?,bar
specialty,what_is_your_parent_specia,What is your 'parent speciality'?,
specialty_ed,parent_specia2___1,What is your 'parent speciality'? (choice=Emergency Medicine),
specialty_anaes,parent_specia2___2,What is your 'parent speciality'? (choice=Anaesthetics),
specialty_icu,parent_specia2___3,What is your 'parent speciality'? (choice=Intensive Care Medicine),
specialty_paeds,parent_specia2___9,What is your 'parent speciality'? (choice=Paediatrics),
specialty_gp,parent_specia2___4,What is your 'parent speciality'? (choice=General Practice),
specialty_surg,parent_specia2___5,What is your 'parent speciality'? (choice=Surgery),
specialty_fy,parent_specia2___6,What is your 'parent speciality'? (choice=Foundation Programme),
specialty_acute,parent_specia2___7,What is your 'parent speciality'? (choice=Acute Internal Medicine),
specialty_other,parent_specia2___8,What is your 'parent speciality'? (choice=Other),
ft_specialty,other_training,"You have selected other, please specify.",
dept,ward,In what Department were you working as of March 1st 2020?,
dept_ed,ward_2___1,In what Department were you working as of March 1st 2020? Select all that apply (choice=Emergency Department (adult or paediatric)),
dept_anaes,ward_2___2,In what Department were you working as of March 1st 2020? Select all that apply (choice=Anaesthetic Department (adult or paediatric)),
dept_icu,ward_2___3,In what Department were you working as of March 1st 2020? Select all that apply (choice=Intensive Care Department (adult or paediatric)),
dept_amu,ward_2___5,In what Department were you working as of March 1st 2020? Select all that apply (choice=Acute Medical Unit),
dept_ward,ward_2___6,In what Department were you working as of March 1st 2020? Select all that apply (choice=Hospital ward (adult or paediatric)),
dept_other,ward_2___4,In what Department were you working as of March 1st 2020? Select all that apply (choice=Other),
ft_dept,in_what_department_were_yo,"You selected other, in which Department where you working as of March 1st 2020?",
redeployed_s1,have_you_been_deployed_to,Have you been deployed to a different  clinical area as a result of the COVID-19 outbreak?,bar
redeployed_where_s1,re_deployed,Where have you been redeployed to?,barfilt
ft_redeployed_s1,other_please_specify,"You have selected other, please specify.",
redeployed_satisfaction_s1,how_happy_are_you_with_thi,How satisfied are you with this redeployment?    ,barfilt
outbreak_none,grade_4___0,Have you previously provided direct clinical care to any patients affected by these infectious disease outbreaks? (please select all that apply) (choice=None of the below),
outbreak_ebola,grade_4___4,Have you previously provided direct clinical care to any patients affected by these infectious disease outbreaks? (please select all that apply) (choice=Ebola virus),
outbreak_mers,grade_4___10,Have you previously provided direct clinical care to any patients affected by these infectious disease outbreaks? (please select all that apply) (choice=MERS-CoV),
outbreak_sars,grade_4___16,Have you previously provided direct clinical care to any patients affected by these infectious disease outbreaks? (please select all that apply) (choice=SARS),
outbreak_chikungunya,grade_4___1,Have you previously provided direct clinical care to any patients affected by these infectious disease outbreaks? (please select all that apply) (choice=Chikungunya),
outbreak_cholera,grade_4___2,Have you previously provided direct clinical care to any patients affected by these infectious disease outbreaks? (please select all that apply) (choice=Cholera),
