Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
participant_id,cera_survey_1,,text,Participant ID,,,,,,,,,,,,,
do_you_want_to_read_the_in,cera_survey_1,,yesno,Do you want to read the participant information sheet now?,,,,,,,,,,,,,
pdf_of_information_leaflet,cera_survey_1,,descriptive,"If you would like to download the patient information sheet to read later, please download the link below. ",,,,,,,,,,,,,
intro,cera_survey_1,,descriptive,"<div class=""rich-text-field-label""><p class=""MsoNormal"" style=""margin: 0cm 0cm 0.0001pt; font-size: medium; font-family: Calibri, sans-serif; font-weight: normal;""><span style=""font-size: 10.5pt; font-family: Verdana, sans-serif;"">Thank you for taking the time to consider taking part in the COVID-19 Emergency Response Assessment (CERA Study). <strong><br /><br /></strong>It is important that you read this information, so that you understand the purpose of the study and how we will treat your data. <strong><br /><br />What is the CERA study?<br /></strong>The CERA study consists of three questionnaires that will be conducted during the current COVID-19 outbreak. The CERA study will assess how you are feeling about your general health, anxiety levels, and mood at three points in time. Separate questionnaires will be issued before, during, and after the peak of the current COVID-19 outbreak.<strong><br /><br />What is the purpose of the CERA study?<br /></strong>This study will provide information regarding how staff working in Emergency care settings are feeling whilst working during the current COVID-19 outbreak. Full analysis of data will help identify how emergency staff can be better supported during future disease outbreaks.<strong><br /><br />Who has organised the CERA study?<br /></strong>The CERA study is led by the Trainee Emergency Research Network (TERN), in association with the Paediatric Emergency Research in the UK and Ireland (PERUKI) and Research and Audit Federation of Trainees (RAFT). <strong><br /></strong>The CERA study is supported by the UK Royal College of Emergency Medicine (RCEM). <strong><br /><br />Has the CERA study received external approval?<br /></strong>Yes, the CERA study has received University Ethics Approval from the University of Bath (Ref: 4421). The CERA study has been approved by the Health Research Authority (HRA). <strong><br /><br />What will happen if I take part?<br /></strong>There will be three separate e-surveys to complete, including this one. Each survey is completed online, and will take between about 3 and 5 minutes. Surveys will be issued at different times.<strong><br /><br /></strong>You be required to submit your email address as part of this survey, which will allow us to invite you to participate in the other two surveys. You are not required to submit any additional personal identifiable information. We will remove your email address from data, prior to analysis. <strong><br /><br />Are there any potential risks?<br /></strong>Some of the issues explored will be sensitive, and we understand that this may be a challenging time for you. We have included some information about sources that you might wish to contact within this survey. <strong><br /><br />How will you protect my data and ensure confidentiality?<br /></strong>North Bristol NHS Trust is supporting this study and will be responsible for looking after your information and using it properly. The data collected will be stored for 5 years after the study has finished. <strong><br /><br /></strong>Your rights to access, change or move your information are limited, as we need to manage your information in specific ways in order for the research to be reliable and accurate. If you withdraw from the study, we will keep the information about you that we have already obtained. We will collect only personal identifiable information possible.<strong><br /><br /></strong>This study is also compliant with the General Data Protection Regulations (GDPR). <strong><br /><br />Do I have to take part?<br /></strong>You are under no obligation to take part, and you may withdraw at any point without giving a reason. <strong><br /><br /></strong>What will happen to my data if I withdraw my involvement?<strong><br /></strong>If you choose to withdraw your involvement in the study, any results that you have submitted will be kept for analysis. However, you will not be required to input further into the study.We will need to use information from you for this research project. This information will include your email address. People will use this information to do the research or to check your records to make sure that the research is being done properly. Once we have finished the study, we will keep some of the data so we can check the results. We will write our reports in a way that no-one can work out that you took part in the study. <strong><br /><br />What are your choices about how your information is used? <br /></strong>You can stop being part of the study at any time, without giving a reason, but we will keep information about you that we already have. <strong><br /><br />Where can you find out more about how your information is used? <br /></strong>You can find out more about how we use your information <strong><br /></strong>• at www.hra.nhs.uk/information-about-patients/<strong><br /></strong>• our leaflet available from www.nbt.nhs.uk/PatientResearchdata<strong><br /></strong>• by asking one of the research team<strong><br /></strong>• by contacting Helen Williamson (Head of Information Governance) at helen.e.williamson@nbt.nhs.uk, or by ringing 0117 41 44767.<strong><br /><br /><br />Who can I contact if I have any questions?<br /></strong>Please contact Dr Tom Roberts (Chief Investigator) at tern@rcem.ac.uk if you have any questions. <strong><br /><br />What to do if you need support about wellbeing<br /></strong>The following organisations can help provide advice and support with regards to your wellbeing.<strong><br /><br /></strong>-Your occupational health department (contact details available via your employer)<strong><br /></strong>-Your general practitioner <strong><br /></strong>- https://anaesthetists.org/Home/Wellbeing-support<strong><br /></strong>-BMA Counselling Service (24 Hours). Telephone 0330 123 1245. (Note that you do not have to be a member of the BMA to access this service)<strong><br /></strong>-The Samaritans (24 Hours). Telephone 116 123.</span></p> <p class=""MsoNormal"" style=""margin: 0cm 0cm 0.0001pt; font-size: medium; font-family: Calibri, sans-serif; font-weight: normal;""><span style=""font-size: 10.5pt; font-family: Verdana, sans-serif;""> </span></p> <p class=""MsoNormal"" style=""margin: 0cm 0cm 0.0001pt; font-size: medium; font-family: Calibri, sans-serif; font-weight: normal;""><strong><u><span style=""font-size: 10.5pt; font-family: Verdana, sans-serif; color: red;"">For the attention of Irish Clinicians:</span></u></strong><strong><span style=""font-size: 10.5pt; font-family: Verdana, sans-serif;""><br /></span></strong><span style=""font-size: 10.5pt; font-family: Verdana, sans-serif;"">The following organisations can help provide advice and support with regards to your wellbeing in the Republic of Ireland.</span></p> <p class=""MsoNormal"" style=""margin: 0cm 0cm 0.0001pt; font-size: medium; font-family: Calibri, sans-serif; font-weight: normal;""><strong><span style=""font-size: 10.5pt; font-family: Verdana, sans-serif;""><br /></span></strong><span style=""font-size: 10.5pt; font-family: Verdana, sans-serif;"">-HSE Workplace Health and Wellbeing Unit – Contact Dr Lynda Sisson </span><a href=""mailto:HR.wellbeing@hse.ie"" target=""_blank"" rel=""noopener""><span style=""font-size: 10.5pt; font-family: Verdana, sans-serif; color: blue;"">HR.wellbeing@hse.ie</span></a></p> <p class=""MsoNormal"" style=""margin: 0cm 0cm 0.0001pt; font-size: medium; font-family: Calibri, sans-serif; font-weight: normal;""><span style=""font-size: 10.5pt; font-family: Verdana, sans-serif;"">-The Employee Assistance and Counselling Service (EAC)</span></p> <p class=""MsoNormal"" style=""margin: 0cm 0cm 0.0001pt; font-size: medium; font-family: Calibri, sans-serif; font-weight: normal;""><span style=""font-size: 10.5pt; font-family: Verdana, sans-serif;"">-Pieta House </span><a href=""https://eur01.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.pieta.ie%2F&data=02%7C01%7CTERN%40rcem.ac.uk%7C013d3d20b6934f43d44408d7cccb1f9d%7C5e032e4ef2cf4ca58543e783c433b7ed%7C0%7C0%7C637203045454220982&sdata=RE70cNmYeac4YCG6KGwAvTvRzl7r6SUl%2BpCaPVr2ce4%3D&reserved=0"" target=""_blank"" rel=""noopener""><span style=""font-size: 10.5pt; font-family: Verdana, sans-serif; color: blue;"">www.pieta.ie</span></a><span style=""font-size: 10.5pt; font-family: Verdana, sans-serif;""> or call 188 247 247</span></p> <p class=""MsoNormal"" style=""margin: 0cm 0cm 0.0001pt; font-size: medium; font-family: Calibri, sans-serif; font-weight: normal;""><span style=""font-size: 10.5pt; font-family: Verdana, sans-serif;"">-Your Mental Health </span><a href=""https://eur01.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.yourmentalhealth.ie%2F&data=02%7C01%7CTERN%40rcem.ac.uk%7C013d3d20b6934f43d44408d7cccb1f9d%7C5e032e4ef2cf4ca58543e783c433b7ed%7C0%7C0%7C637203045454220982&sdata=iohEW1kjOsVYFcwPOdi2GalDh9MB%2BhMWAITqBUclQG4%3D&reserved=0"" target=""_blank"" rel=""noopener""><span style=""font-size: 10.5pt; font-family: Verdana, sans-serif; color: blue;"">www.yourmentalhealth.ie</span></a></p> <p class=""MsoNormal"" style=""margin: 0cm 0cm 0.0001pt; font-size: medium; font-family: Calibri, sans-serif; font-weight: normal;""><span style=""font-size: 10.5pt; font-family: Verdana, sans-serif;"">-Practitioner Health (Ireland). Telephone 01 297 0356</span></p> <p class=""MsoNormal"" style=""margin: 0cm 0cm 0.0001pt; font-size: medium; font-family: Calibri, sans-serif; font-weight: normal;""><span style=""font-size: 10.5pt; font-family: Verdana, sans-serif;""> </span></p> <p class=""MsoNormal"" style=""margin: 0cm 0cm 0.0001pt; font-size: medium; font-family: Calibri, sans-serif; font-weight: normal;""><strong><u><span style=""font-size: 10.5pt; font-family: Verdana, sans-serif;"">Specific Consent statement for the Republic of Ireland</span></u></strong></p> <p class=""MsoNormal"" style=""margin: 0cm 0cm 0.0001pt; font-size: medium; font-family: Calibri, sans-serif; font-weight: normal;""><span style=""font-size: 10.5pt; font-family: Verdana, sans-serif;"">I consent to the processing of my personal data as set out in the information leaflet for the research purposes that are part of the CERA study – Consent using the button in the next question.</span></p> <p class=""MsoNormal"" style=""margin: 0cm 0cm 0.0001pt; font-size: medium; font-family: Calibri, sans-serif; font-weight: normal;""><span style=""font-size: 10.5pt; font-family: Verdana, sans-serif;""> </span></p></div>",,,,,,,[do_you_want_to_read_the_in] = '1',,,,,,
consent,cera_survey_1,Consent and Identifiers,checkbox,"By checking this box, I certify that I am at least 18 years old and that I give my consent freely to participate in this study.","1, I consent",,,,,,,y,,,,,
email,cera_survey_1,,text,"What is your e-mail address? 

(This will only be used for the delivery of survey 2 + 3, which you will receive over the coming months)",,,email,,,y,,y,,,,,
hosp,cera_survey_1,About you,dropdown,"What is the name of the hospital where you currently work?
Please type and your hospital should appear, if not present select ""other""","123, Aberdeen Royal Infirmary | 124, Addenbrooke's Cambridge University Hospital | 125, Aintree University Hospital | 126, Airedale NHS Foundation Trust | 127, Alder Hey Children's Hospital NHS Foundation Trust | 128, Altnagelvin Area Hospital | 129, Aneurin Bevan Health Board | 130, Ayr University Hospital Ayr. NHS A&A | Barking, Havering & Redbridge University Hospitals NHS Trust | 131, Barnsley hospital NHS foundation trust | 132, Basingstoke (Hampshire Hospitals NHS Foundation Trust) | 133, Bedford hospital NHS trust | 134, Betsi Cadwaladr University Health Board | 135, Birmingham Children's Hospital | 136, Bon secours Hospital | 137, Bradford Teaching Hospitals Foundation Trust | 138, Brighton and Sussex University Hospitals NHS Trust | 139, Bristol Royal Hospital for Children | 140, Bristol Royal Infirmary | 141, Calderdale Hospital | 142, Central Manchester NHS trust | 143, Chelsea & Westminster Hospital | 144, Children's Health Ireland at Crumlin | 145, Children's Health Ireland at Tallaght | 146, Children's Health Ireland at Temple Street | 147, City Hospitals Sunderland NHS Foundation Trust | 148, Connolly Blanchardstown Hospital | 149, Conquest and Easborne Hospitals | 150, Cork University Hospital | 151, Countess of Chester NHS Foundation Trust | 152, County Durham & Darlington NHS Foundation Trust | 153, Craigavon Hospital | 154, Croydon | 155, Cumberland Infirmary | 156, Daisy Hill Hospital | 157, Derriford Hospital | 158, East and North Hertfordshire NHS Trust | 159, East Lancashire NHS Hospital Trust | 160, East Sussex Healthcare NHS Trust | 161, Epsom and St Helier Hospitals | 162, Evelina London Children's Hospital | 163, Fairfield | 164, Forth Valley Hospital | 165, Frimley Park Hospital | 166, Galway | 167, Gateshead Health NHS Foundation Trust | 168, Gloucestershire Hospitals NHS Foundation Trust | 169, Good Hope | 170, Great North Children's Hospital, Newcastle Upon Tyne | 171, Great Western Hospital, Swindon | 172, Guy's & St Thomas NHS Foundation Trust | 173, Harrogate & District NHS Foundation Trust | 174, Heartlands's Hospital | 175, Hillingdon Hospital | 176, Homerton University Hospital | 177, HSE Ireland - Cork University Hospital | 178, Huddersfield Royal Infirmary and Calderdale Royal Hospital | 179, Hull University Hospital | 180, Inverclyde Royal Hospital | 181, Ipswich Hospital | 182, James Cook University Hospital | 183, James Paget Hospital and NHS Trust Gorleston | 184, John Radcliffe Hospital | 185, King's College Hospital | 186, Kingston University Hospital and NHS Foundation Trust | 187, Lancashire Teaching Hospitals (Royal Preston Hospital) | 188, Leeds teaching hospitals NHS Trust | 189, Leicester Royal Infirmary | 190, Leighton (mid cheshire) | 191, Lister Hospital | 192, Liverpool University Hospitals NHS Trust | 193, Luton and Dunstable University Hospital | 194, Macclesfield Hospital | 195, Maidstone and Tunbridge Wells NHS Trust | 196, Manchester Univeristy NHS Foundation Trust | 197, Mater Misericordiae University Hospital | 198, Medway NHS Foundation Trust | 199, Mid Cheshire Hospitals NHS Foundation Trust | 200, Milton Keynes University Hospital | 201, Morriston Hospital | 202, Musgrove Park Hospital, Taunton | 203, Newcastle upon Tyne Hospitals NHS Foundation Trust | 204, Newham University Hospital | 205, Norfolk & Norwich University Hospital | 206, Southmead Hospital, North Bristol NHS Trust | 207, North Hampshire Hospital, Basingstoke | 208, North Manchester General Hospital | 209, North Middlesex Hospital | 210, North Tees and Hartlepool Hospitals NHS Foundation Trust | 211, Northern Devon Healthcare NHS Trust | 212, Northern general, Sheffield | 213, Northumbria Healthcare NHS Trust | 214, Northwick Park Hospital | 215, Nottingham University Hospitals NHS Trust | 216, Oldham | 217, Ormskirk & District General Hospital | 218, Peterborough City Hospital | 219, Portsmouth Hospitals Trust | 220, Princess Royal Univeristy Hospital | 221, Queen Alexandra Hospital | 222, Queen Elizabeth Hospital, Birmingham | 223, Queen Elizabeth Hospital, Woolwich | 224, Queen Elizabeth Queen's mother hospital Margate | 225, Queen Elizabeth University Hospital Glasgow | 226, Queens Medical Centre (Nottingham) | 227, Rotherham | 228, Royal Aberdeen Children's Hospital | 229, Royal Alexandra Children's Hospital, Brighton | 230, Royal Alexandra Hospital, Paisley | 231, Royal Belfast Hospital for Sick Children | 232, Royal Berkshire Hospital NHS Foundation Trust | 233, Royal Bolton Foundation Trust | 234, Royal Cornwall NHS Trust | 235, Royal Devon & Exeter Hospital | 236, Royal Free Hospital | 237, Royal Gwent hospital | 238, Royal Hampshire County Hospital | 239, Royal Hospital for Children, Glasgow | 240, Royal Hospital for Sick Children, Edinburgh | 241, Royal Infirmary of Edinburgh | 242, Royal Liverpool | 243, Royal London Hospital | 244, Royal Manchester Children's Hospital | 245, Royal Preston Hospital | 246, Royal Stoke University Hospital | 247, Royal Surrey County Hospital | 248, Royal Surrey NHS Foundation Trust | 249, Royal Sussex county hospital | 250, Royal United Hospital, Bath | 251, Royal Victoria Hospital, Belfast | 252, Royal Victoria Infirmary, Newcastle | 253, Royal Wolverhampton NHS Trust | 254, Salford Royal NHS Foundation Trust | 255, Salisbury NHS Foundation Trust | 256, Sandwell and West Birmingham NHS Foundation Trust | 257, Scarborough Hospital | 258, Sheffield Children's Hospital | 259, Sheffield Teaching Hospitals Foundation NHS Trust | 260, South Eastern Health and Social Care Trust | 261, Southampton Children's Hospital | 262, Southport | 263, Southport & Ormskirk Hospital | 264, St George's Hospital London | 265, St Helen's and Knowsley NHS trust | 266, St John's Hospital, Livingston | 267, St Mary's Hospital | 268, Stockport NHS Trust | 269, Stoke Mandeville Hospital | 270, Sunderland and South Tyneside NHS Foundation Trust | 271, Surrey and Sussex Healthcare NHS Trust | 272, Torbay and South Devon NHS Trust | 273, Tunbridge Wells NHS Trust | 274, Ulster Hospital Dundonald | 275, University College London Hospitals NHS Trust | 276, University Hospital Ayr | 277, University Hospital Coventry | 278, University Hospital Crosshouse | 279, University Hospital Lewisham | 280, University Hospital Monklands | 281, University Hospital of Wales, Cardiff | 282, University hospital Southampton | 283, University Hospital Waterford | 284, University Hospital Wishaw | 285, University Hospitals Birmingham | 286, University Hospitals Coventry & Warwickshire NHS | 287, University Hospitals Derby and Burton NHS Foundation | 288, University Hospitals of Leicester NHS Trust | 289, University Hospitals of North Midlands | 290, University Hospitals Plymouth | 291, Warwick Hospital | 292, Watford General Hospital (West Herts NHS Trust) | 293, West Middlesex | 294, Western Sussex Hospitals NHS Trust | 295, Wexham Park Hospital | 296, Whipp's Cross Hospital | 297, Whiston Hospital | 298, Whittington Health NHS Trust | 299, William Harvey Hospital | 300, Wrexham Maelor Hospital | 301, Yeovil District Hospital NHS Foundation Trust | 302, York Teaching Hospital NHSFT | 303, Other | 304, Wythenshawe Hospital | 305, Antrim Area Hospital | 306, Arrowe park hospital | Ashford, St Peter's Hospital | 307, Balfour Hospital, Orkney | 308, Barking havering and redbridge university hospitals NHS foundation trust | 309, Barnet Hospital | 310, Basildon | 311, Belfast City Hospital | 312, Blackpool Victoria Hospital | 313, BMI Sarum Rd Winchester | 314, Broomfield Hospital | 315, Causeway hospital | 316, Charing Cross Hospital, London | 317, Chesterfield Royal Hospital | 318, Colchester General Hospital | 319, Darent Valley Hospital | 320, Dartford and Gravesham NHS Trust | 321, Diana Princess of Wales, Grimsby | 322, Doncaster Royal Infirmary | 323, Dorset County Hospital | 324, Dudley Group NHS Foundation Trust | 325, Dumfries and Galloway Royal Infirmary | 326, Ealing | 327, East Surrey Hospital | 328, Freeman Hospital, Newcastle | 329, Galngwili General Hospital | 330, George Eliot Hospital Nuneaton | 331, Glan Clwyd hospital | 332, Glangwili General Hospital Carmarthen  Wales | 333, Glasgow Royal Infirmary | 334, Glen field Leicester | 335, GP Woodlands primary care sidcup | 336, Great Ormond Street Hospital | 337, Grimsby hospital. | 338, Hammersmith Hospital London | 339, Harefield | 340, Hereford County Hospital | 341, HMS Raleigh | 342, Horton General Hospital Banbury | 343, Hull University Teaching hospitals NHS Trust | 344, Kent and Canterbury Hospital | 345, Kettering General Hospital | 346, Kings Mill Hospital | 347, Lincoln county hospital | 348, Liverpool Heart and Chest Hospital | 349, Liverpool Women's Hospital | 350, Mid Essex NHS Trust | 351, Mid yorkshire hospital | 352, Moorfields Eye Hospital | 353, National Hospital for Neurology and Neurosurgery | 354, Nevill Hall Hospital | 355, New Cross Hospital | 356, Ninewells Hospital, Dundee | 357, Northampton General Hsopital | 358, Northern Lincolnshire and Goole NHS Foundation Trust | 359, Oxford University Hospital | 360, Perth Royal Infirmary | 361, Pilgrim Hospital Boston Lincolnshire | 362, Pinderfields general Hospital, Wakefield | 363, Poole | 364, Prince Charles Hospital | 365, Princess of Wales Hospital, Bridgend | 366, Princess Royal Hospital, Shrewsbury and Telford Hospitals NHS Trust | 367, Queen Charlotte's and Chelsea Hospital | 368, Queen Elizabeth Hospital Gateshead | 369, Queen Elizabeth Hospital King's Lynn | 370, Queen Victoria Hospital, East Grinstead | 371, Queens Hospital - Romford | 372, Raigmore Hospital | 373, Raigmore Hospital, Inverness | 374, Robert Jones & Agnes Hunt Orthopaedic Hospital | 375, Royal Blackburn | 376, Royal Bournemouth NHS Trust | 377, Royal Brompton | 378, Royal Glamorgan Hospital | 379, Royal Lancaster Infimary | 380, Royal Marsden hospital | 381, Royal National Orthopaedic Hospital | 382, Royal Orthopaedic Hospital Birmingham | 383, Royal Papworth Hospital | 384, Royal Shrewsbury Hospital | 385, Russells Hall Hospital, Dudley | 386, Scunthorpe General Hospital | 387, Sherwood Forest nhs trust | 388, Southend University Hospital | 389, St Bartholomew's Hospital London | 390, St Peter's, Chertsey (Ashford and St Peter's Trust) | 391, St. Bartholomew's Hospital | 392, St. Mary's Hospital, Imperial College Healthcare NHS Trust | 393, Tameside and Glossop | 394, The Balfour , Orkney | 395, The Horton General Hospital | 396, The Porch Surgery | 397, The Queen Elizabeth Hospital, King's Lynn | 398, The Royal Oldham Hospital | 399, University Hospitals of Morecambe Bay Foundation trust | 400, Walton centre | 401, Warrington and Halton Teaching Hospitals NHS Foundation Trust | 402, Wasall Manor Hospital | 403, West cumberland hospital | 404, West Middlesex University Hospital | 405, West Suffolk hospital | 406, Western General Hospital Edinburgh | 407, Wirral University Teaching Hospital | 408, Worcestershire Royal Hospital | 409, Worthing Hospital | 410, Wrightington Wigan and Leigh NHS Foundation Trust | 411, Wycombe Hospital Buckinghamshire NHS Trust | 412, Ysbyty Gwynedd | 413, University Hospital Hairmyres",,autocomplete,,,y,,,,,,,
specify,cera_survey_1,,text,"You have selected other, please specify.",,,,,,,[hosp] = '303',,,,,,
grade,cera_survey_1,,dropdown,"What is your professional grade? 
","17, GP Trainee | 1, ST1 | 2, ST2 | 3, ST3 | 4, ST4 | 5, ST5 | 6, ST6 | 7, ST7 | 8, ST8 | 9, F1 | 10, F2 | 11, Clinical Fellow (F2-ST3 Level) | 12, Clinical Fellow (>=ST4 Level) | 13, Consultant | 14, Associate Specialist | 15, Staff Grade | 16, CESR Doctor | 18, GP | 19, Other",,autocomplete,,,y,,,,,,,
grade_other,cera_survey_1,,text,"You have selected other, please specify.",,,,,,,[grade] = '19',,,,,,
