survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,20-25,110,13.654545454545454,2,9,11,13,16,19,26
Survey 1,26-30,716,13.568435754189943,1,8,10,13,16,19,35
Survey 1,31-35,665,14.19248120300752,0,8,11,14,18,21,35
Survey 1,36-40,483,13.82815734989648,2,8,10,13,17,21,35
Survey 1,41-45,396,13.444444444444445,0,7,10,13,16,20,34
Survey 1,46-50,274,13.251824817518248,3,7,10,12,16,20,35
Survey 1,51-55,191,13.769633507853403,4,8,10,13,17,21,32
Survey 1,56-60,104,14.259615384615385,4,8,10.75,14,17,22,31
Survey 1,>60,47,12.893617021276595,5,7,9.5,12,15,20,31
Survey 1,(Missing),4,11.5,7,8.2,10,11,12.5,15.2,17
Survey 2,20-25,108,12.944444444444445,4,8,10,13,15.25,17.599999999999994,28
Survey 2,26-30,718,13.348189415041782,2,7,10,13,16,20,32
Survey 2,31-35,667,13.193403298350825,2,7,9,13,17,20,32
Survey 2,36-40,481,13.46985446985447,0,7,9,12,17,22,31
Survey 2,41-45,383,13.263707571801566,2,7,10,12,16,20.80000000000001,36
Survey 2,46-50,270,12.514814814814814,3,6,8,12,16,20,35
Survey 2,51-55,194,12.556701030927835,2,6,9,12,15,20.700000000000017,34
Survey 2,56-60,102,13.22549019607843,1,8,10,13,15.75,19,27
Survey 2,>60,49,13.408163265306122,3,7,9,12,17,23,31
Survey 2,(Missing),5,13.8,10,11.2,13,14,16,16,16
Survey 3,20-25,108,12.537037037037036,2,7,10,12,14.25,19.299999999999997,26
Survey 3,26-30,718,13.034818941504179,0,7,9,12,16,21,34
Survey 3,31-35,648,12.799382716049383,1,7,9,12,16,20.300000000000068,34
Survey 3,36-40,467,12.940042826552462,1,6,9,12,16,21.400000000000034,36
Survey 3,41-45,380,13.094736842105263,0,7,9,12,16,21,36
Survey 3,46-50,262,12.549618320610687,0,6,8,12,15,21,36
Survey 3,51-55,190,12.442105263157895,2,6,8.25,11,16,20,28
Survey 3,56-60,95,13.389473684210527,4,8,9,12,17,21.60000000000001,26
Survey 3,>60,44,12.340909090909092,3,6,9,11,15,21,29
Survey 3,(Missing),5,15.2,11,11.8,13,16,16,18.4,20
