survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,anaes,842,14.431116389548693,4,8,11,14,17,21.899999999999977,35
Survey 1,anaes+ICU,224,14.160714285714286,2,8,11,14,17.25,20.700000000000017,35
Survey 1,ED,1577,13.266328471781865,0,8,10,13,16,20,35
Survey 1,ICU,269,13.784386617100372,0,8,10,14,17,21,34
Survey 1,Other,78,14.128205128205128,4,8,9.25,14,17,22,33
Survey 2,anaes,833,13.554621848739496,3,7,10,13,17,20,34
Survey 2,anaes+ICU,227,13.731277533039648,3,7,9,14,17,21,33
Survey 2,ED,1570,12.796178343949045,0,6,9,12,16,20,36
Survey 2,ICU,269,13.553903345724907,1,8,10,13,16,20,32
Survey 2,Other,78,13.935897435897436,5,8,10,13,17,21,30
Survey 3,anaes,812,12.876847290640393,0,6,9,12,16,21,36
Survey 3,anaes+ICU,217,13.31336405529954,2,6.600000000000001,9,12,17,22,36
Survey 3,ED,1547,12.756948933419523,0,6,9,12,15,20,36
Survey 3,ICU,262,13.01908396946565,1,7,9,12,16,21,34
Survey 3,Other,79,13.645569620253164,4,7,9,11,16,24.400000000000006,35
