survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,Not confident at all,240,16.841666666666665,6,11,13,16,20.25,23.099999999999994,35
Survey 1,Somewhat not confident,640,14.65,3,8.900000000000006,11,14,17,21.100000000000023,35
Survey 1,Neither not confident or confident,639,13.926447574334897,2,8,11,13,16,21,35
Survey 1,Somewhat confident,1267,12.835043409629044,2,7,9,12,16,19,32
Survey 1,Very confident,158,11.183544303797468,0,6,8,10.5,14,18,26
Survey 1,(Missing),46,15.391304347826088,4,9,12,15,19,22,30
Survey 2,Not confident at all,125,15.88,3,8.4,12,15,21,24.60000000000001,35
Survey 2,Somewhat not confident,364,14.428571428571429,2,8,11,14,17,21.69999999999999,35
Survey 2,Neither not confident or confident,405,13.945679012345678,3,7.400000000000006,10,13,17,22,34
Survey 2,Somewhat confident,1509,12.860834990059642,2,7,9,12,16,20,36
Survey 2,Very confident,518,11.774131274131275,0,6,8,11,15,19,31
Survey 2,(Missing),56,15,4,7.5,10,15,18.25,24,32
Survey 3,Not confident at all,109,16.926605504587155,2,8,11,15,22,28,36
Survey 3,Somewhat not confident,360,14.252777777777778,3,7,10,14,17,22.100000000000023,34
Survey 3,Neither not confident or confident,457,13.599562363238512,1,7.600000000000001,10,13,17,21,34
Survey 3,Somewhat confident,1373,12.606700655498907,0,7,9,12,15,20,36
Survey 3,Very confident,536,11.111940298507463,0,5,7,11,14,18,36
Survey 3,(Missing),82,13.573170731707316,4,8,10,12,17,21,26
