survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,English / Welsh / Scottish / Northern Irish / British,1839,13.716150081566068,0,8,10,13,17,20,35
Survey 1,Irish,180,13.188888888888888,5,8,10,13,16,19.099999999999994,35
Survey 1,Any other White background,211,13.71563981042654,5,8,10.5,13,16,20,35
Survey 1,White and Black Caribbean,9,9.88888888888889,4,4.8,7,9,12,15.199999999999996,20
Survey 1,White and Black African,16,14.625,8,8,11.75,13.5,18.5,20.5,23
Survey 1,White and Asian,25,13.08,6,7,9,11,15,21.800000000000004,25
Survey 1,Any other Mixed / Multiple ethnic background,32,12.75,4,6.1,9,13,16,18.900000000000002,26
Survey 1,Indian,252,14.773809523809524,1,8,11,14,18,23,30
Survey 1,Pakistani,68,13.823529411764707,6,7,10,12.5,17.25,20.60000000000001,30
Survey 1,Bangladeshi,10,11.3,6,6.8999999999999995,8.5,11,12,15.599999999999998,21
Survey 1,Chinese,56,13.553571428571429,6,8.5,12,13,15.25,18,29
Survey 1,Any other Asian background,73,12.657534246575343,4,8,10,12,14,18.799999999999997,25
Survey 1,African,51,12.27450980392157,0,8,9,12,15,17,28
Survey 1,Caribbean,8,14.75,5,7.1000000000000005,13.25,17,18.25,19,19
Survey 1,Any other Black / African / Caribbean background,1,10,10,10,10,10,10,10,10
Survey 1,Arab,31,14.03225806451613,8,10,11,13,15.5,20,27
Survey 1,Any other ethnic group,19,15.421052631578947,8,8,9.5,14,19.5,25.2,27
Survey 1,Prefer not to disclose,42,14.714285714285714,3,8,11,13.5,18,21.799999999999997,32
Survey 1,(Missing),67,14.104477611940299,4,7.6000000000000005,9,13,18,24,29
Survey 2,English / Welsh / Scottish / Northern Irish / British,1833,12.989088925259137,0,7,9,12,16,20,36
Survey 2,Irish,181,12.602209944751381,2,6,9,12,16,20,32
Survey 2,Any other White background,207,13.608695652173912,2,7,9,13,17,21,32
Survey 2,White and Black Caribbean,9,11,6,6.800000000000001,7,10,13,15.399999999999995,21
Survey 2,White and Black African,16,13.9375,8,8,9.75,13.5,17.25,21,24
Survey 2,White and Asian,27,12.037037037037036,5,7,9.5,11,14.5,18.400000000000002,22
Survey 2,Any other Mixed / Multiple ethnic background,29,11.724137931034482,4,6.8,9,10,14,18.2,25
Survey 2,Indian,247,14.368421052631579,2,6,10,14,18,23,34
Survey 2,Pakistani,66,14.378787878787879,6,7,10.25,14,17.75,21.5,29
Survey 2,Bangladeshi,11,13.545454545454545,3,6,10,13,17,23,24
Survey 2,Chinese,56,13.214285714285714,5,6.5,9.75,12.5,16,20,27
Survey 2,Any other Asian background,74,12.594594594594595,3,6.300000000000001,10,12,15,18.400000000000006,25
Survey 2,African,51,12.745098039215685,4,8,10,12,15.5,18,25
Survey 2,Caribbean,6,13.333333333333334,6,6.5,9,15.5,16,18,20
Survey 2,Any other Black / African / Caribbean background,2,16.5,16,16.1,16.25,16.5,16.75,16.9,17
Survey 2,Arab,33,13.212121212121213,6,9,11,12,15,17.8,28
Survey 2,Any other ethnic group,19,15.368421052631579,8,8,11.5,14,17.5,23.4,35
Survey 2,Prefer not to disclose,42,14.214285714285714,5,8,11,13,17.75,20.9,29
Survey 2,(Missing),68,13.676470588235293,2,6.7,9.75,13,18,21,31
Survey 3,English / Welsh / Scottish / Northern Irish / British,1790,12.70558659217877,0,7,9,12,16,20,36
Survey 3,Irish,178,12.455056179775282,3,7,8,12,15,20.30000000000001,25
Survey 3,Any other White background,206,13.364077669902912,1,6.5,9,12,17,21.5,35
Survey 3,White and Black Caribbean,9,11.222222222222221,3,3.8,5,10,14,18.79999999999999,30
Survey 3,White and Black African,15,11.666666666666666,6,6,8.5,11,13.5,18.6,23
Survey 3,White and Asian,25,12.8,2,7.4,8,12,17,19,26
Survey 3,Any other Mixed / Multiple ethnic background,30,12.133333333333333,3,5,9,11,15.75,20,27
Survey 3,Indian,241,13.91286307053942,2,6,9,13,17,23,36
Survey 3,Pakistani,68,13.764705882352942,6,7.7,10,13,17,20,32
Survey 3,Bangladeshi,11,12.272727272727273,4,6,8,9,12,23,34
Survey 3,Chinese,54,12.88888888888889,1,7,9,12,16.75,19,26
Survey 3,Any other Asian background,73,12.643835616438356,3,5.199999999999999,9,12,15,21.799999999999997,31
Survey 3,African,51,11.509803921568627,4,7,8.5,11,13.5,17,25
Survey 3,Caribbean,8,10.75,5,6.4,8.5,10,13.25,15.2,18
Survey 3,Any other Black / African / Caribbean background,2,19.5,17,17.5,18.25,19.5,20.75,21.5,22
Survey 3,Arab,31,12.64516129032258,5,8,9,11,16,18,32
Survey 3,Any other ethnic group,19,15.31578947368421,6,8.6,11,14,19,22.999999999999996,29
Survey 3,Prefer not to disclose,41,13.853658536585366,1,8,10,13,18,20,28
Survey 3,(Missing),65,13.692307692307692,2,7,9,12,18,23,28
