survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,White British,1839,13.716150081566068,0,8,10,13,17,20,35
Survey 1,Irish,180,13.188888888888888,5,8,10,13,16,19.099999999999994,35
Survey 1,Ethnic minority (including white other),862,13.796983758700696,0,8,10,13,17,21,35
Survey 1,(Missing),109,14.339449541284404,3,8,10,13,18,23.200000000000003,32
Survey 2,White British,1833,12.989088925259137,0,7,9,12,16,20,36
Survey 2,Irish,181,12.602209944751381,2,6,9,12,16,20,32
Survey 2,Ethnic minority (including white other),853,13.615474794841735,2,7,10,13,17,21,35
Survey 2,(Missing),110,13.881818181818181,2,6.9,10,13,18,21,31
Survey 3,White British,1790,12.70558659217877,0,7,9,12,16,20,36
Survey 3,Irish,178,12.455056179775282,3,7,8,12,15,20.30000000000001,25
Survey 3,Ethnic minority (including white other),843,13.227758007117437,1,6,9,12,16,21,36
Survey 3,(Missing),106,13.754716981132075,1,7,9,12.5,18,23,28
