survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,0,666,14.316816816816816,2,8,11,14,17,21,35
Survey 1,1-5,1052,13.757604562737642,1,8,10,13,16.25,20,34
Survey 1,6-10,499,13.438877755511022,3,8,10,13,17,20,29
Survey 1,11-15,267,13.235955056179776,0,7,10,12,15.5,20.400000000000006,35
Survey 1,16-20,176,13.045454545454545,3,8,9,12,16,19,29
Survey 1,21-25,82,13.317073170731707,1,7.1,9,13,16.75,20.900000000000006,32
Survey 1,26-30,62,12.903225806451612,4,7.1000000000000005,9,12,16,18,25
Survey 1,31-35,14,13.785714285714286,8,8.3,10.25,13.5,15.75,16.700000000000003,29
Survey 1,> 36,129,13.713178294573643,3,7.800000000000001,9,13,17,22,31
Survey 1,(Missing),43,15.255813953488373,4,9,11,15,19.5,22,30
Survey 2,0,71,13.704225352112676,5,7,10,12,17,21,30
Survey 2,1-5,331,13.38368580060423,2,7,10,13,16,20,34
Survey 2,6-10,314,13.805732484076433,3,7,10,13,17,21,33
Survey 2,11-15,271,13.129151291512915,2,8,10,13,16,20,31
Survey 2,16-20,370,12.762162162162163,2,7,9,12,15.75,20,31
Survey 2,21-25,271,12.656826568265682,3,7,9,12,16,19,32
Survey 2,26-30,274,13.098540145985401,3,7,9,12,16,21,31
Survey 2,31-35,111,13.585585585585585,5,7,9,13,16.5,21,29
Survey 2,> 36,918,13.072984749455337,0,6,9,12,17,21,36
Survey 2,(Missing),46,14.891304347826088,4,7.5,10,15,18.75,23,32
Survey 3,0,64,13.15625,1,7,10,13,16.25,19,26
Survey 3,1-5,243,12.432098765432098,3,7,9,11,15,20,33
Survey 3,6-10,232,13.431034482758621,3,7,9,12,16.25,22,36
Survey 3,11-15,222,13.32882882882883,3,7,9,12,16,21.900000000000006,32
Survey 3,16-20,282,12.854609929078014,3,7,9,12,16,20,35
Survey 3,21-25,226,12.353982300884956,0,6.5,8.25,12,15,19,36
Survey 3,26-30,258,12.34108527131783,1,6,8,11,15,20.30000000000001,31
Survey 3,31-35,126,12.325396825396826,4,7,9,11,15,19,28
Survey 3,> 36,1183,12.992392223161454,0,6,9,12,16,21,36
Survey 3,(Missing),81,13.666666666666666,4,8,11,12,17,21,26
