survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,0,957,13.32183908045977,0,8,10,13,16,20,32
Survey 1,1-5,1064,13.656015037593985,1,8,10,13,17,21,35
Survey 1,6-10,129,13.48062015503876,4,8,10,13,16,19.200000000000003,32
Survey 1,11-15,44,14.590909090909092,0,6.6,10.75,15,18,24.700000000000003,29
Survey 1,16-20,20,14.5,3,7.600000000000001,9.75,13.5,18.25,23.1,31
Survey 1,21-25,8,12.25,6,8.100000000000001,9,13.5,14.25,15.9,18
Survey 1,>25,12,14.333333333333334,6,7.1,9.5,13.5,19.25,20.9,29
Survey 1,(Missing),756,14.33068783068783,2,8,11,14,17,21,35
Survey 2,0,208,13.14423076923077,2,8,10,13,16,19.30000000000001,31
Survey 2,1-5,702,13.301994301994302,2,7,10,13,16,21,34
Survey 2,6-10,473,12.987315010570825,2,7,9,12,16,20,35
Survey 2,11-15,352,12.946022727272727,2,7,9,12,16,20,31
Survey 2,16-20,316,12.522151898734178,2,6,9,12,16,20,29
Survey 2,21-25,201,13.104477611940299,2,6,9,13,16,20,36
Survey 2,>25,565,13.530973451327434,0,7,10,13,17,21,35
Survey 2,(Missing),160,13.89375,4,7,10,13,18,21.099999999999994,32
Survey 3,0,141,12.48936170212766,2,7,9,12,15,20,35
Survey 3,1-5,582,12.845360824742269,1,7,9,12,16,21,36
Survey 3,6-10,439,12.804100227790434,0,6,9,12,16,20,36
Survey 3,11-15,309,12.799352750809062,0,7,9,12,15,20,34
Survey 3,16-20,292,12.006849315068493,2,6,8,11,15,19.900000000000034,32
Survey 3,21-25,206,12.966019417475728,0,6,9,12,16.75,22,32
Survey 3,>25,757,13.297225891677675,0,6,9,12,16,22,36
Survey 3,(Missing),191,13.157068062827225,1,7,10,12,16,20,27
