survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,Male,1417,12.942836979534228,0,7,9,12,15,20,35
Survey 1,Female,1474,14.42944369063772,1,8,11,14,18,21,35
Survey 1,Other,7,15.857142857142858,13,13,13.5,16,17.5,18.8,20
Survey 1,(Missing),92,14.5,7,9,11,14,18,20.900000000000006,26
Survey 2,Male,1402,12.313837375178316,0,6,9,12,15,20,35
Survey 2,Female,1474,13.951831750339213,2,8,10,13,17,21,36
Survey 2,Other,7,16,7,10,12.5,16,19,23,26
Survey 2,(Missing),94,13.72340425531915,4,8,11,13,16,20,32
Survey 3,Male,1397,12.106657122405155,0,6,8,11,15,20,36
Survey 3,Female,1425,13.524912280701754,0,7,9,12,17,22,36
Survey 3,Other,7,15.285714285714286,10,10,11.5,14,19,20.8,22
Survey 3,(Missing),88,14.5,2,8,11,13,18,22.599999999999994,31
