survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,Hourly,109,16.75229357798165,6,10,12,17,21,25,35
Survey 1,Up to twice a day,353,14.648725212464589,4,8.200000000000003,11,14,18,22,32
Survey 1,Daily,542,13.636531365313653,0,8,10,13,17,20,34
Survey 1,Several times a week,475,13.473684210526315,2,8,10,13,16,20,34
Survey 1,Weekly,347,13.337175792507205,2,8,10,13,16,19,35
Survey 1,Less than weekly,430,13.311627906976744,3,8,10,13,16,20,32
Survey 1,Never,666,13.336336336336336,0,8,10,13,16,20,35
Survey 1,(Missing),68,15.176470588235293,4,8.7,12,14,19.25,23,30
Survey 2,Hourly,107,15.383177570093459,4,8,11,15,19.5,23,32
Survey 2,Up to twice a day,354,13.666666666666666,2,8,10,13,17,20,35
Survey 2,Daily,541,13.205175600739372,0,7,9,13,16,21,35
Survey 2,Several times a week,471,12.97452229299363,2,7,9,12,16,20,34
Survey 2,Weekly,340,12.826470588235294,3,7,9,12,15,20,30
Survey 2,Less than weekly,416,13.057692307692308,2,7,9.75,13,16,20,32
Survey 2,Never,660,12.789393939393939,1,7,9,12,16,20,36
Survey 2,(Missing),88,14.295454545454545,4,8,10.75,13.5,17.25,22.299999999999997,28
Survey 3,Hourly,107,13.91588785046729,3,7,9,13,18,22.400000000000006,36
Survey 3,Up to twice a day,341,13.304985337243401,2,7,9,12,17,21,36
Survey 3,Daily,534,13.099250936329588,0,7,9,12,16,21,31
Survey 3,Several times a week,456,12.43859649122807,0,6,8,12,15,20,36
Survey 3,Weekly,337,12.320474777448071,1,6,9,11,15,20,36
Survey 3,Less than weekly,404,12.78960396039604,1,7,9,12,15,20,35
Survey 3,Never,655,12.8793893129771,0,7,9,12,16,21,32
Survey 3,(Missing),83,13.506024096385541,3,6,10,13,17,21,32
