survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,Hourly,11,17.636363636363637,7,10,12,20,22.5,24,28
Survey 1,Up to twice a day,112,14.410714285714286,0,7,10.75,14,18,21.900000000000006,29
Survey 1,Daily,558,14.13978494623656,0,8,10,13.5,17,21,35
Survey 1,Several times a week,868,14.021889400921658,2,8,11,13.5,17,21,35
Survey 1,Weekly,626,13.186900958466454,2,7,10,12,16,20,35
Survey 1,Less than weekly,431,13.269141531322505,1,8,11,13,16,19,33
Survey 1,Never,301,13.325581395348838,3,8,10,13,16,19,27
Survey 1,(Missing),83,14.457831325301205,4,9,10.5,14,18,22,30
Survey 2,Hourly,12,19.666666666666668,7,14,14.75,18,25.25,27.8,35
Survey 2,Up to twice a day,110,13.781818181818181,2,7.9,10,14,17,21,30
Survey 2,Daily,554,14.009025270758123,2,7,10,13,17,22,36
Survey 2,Several times a week,856,12.985981308411215,0,7,9,12,16,20,34
Survey 2,Weekly,614,12.817589576547231,2,7,9,12,16,20,32
Survey 2,Less than weekly,426,12.960093896713616,1,7,10,12,15,20,31
Survey 2,Never,305,12.38032786885246,2,6,9,12,15,19,35
Survey 2,(Missing),100,14.35,4,8,10,14,17,23.10000000000001,31
Survey 3,Hourly,11,15.363636363636363,6,8,9.5,12,20.5,26,29
Survey 3,Up to twice a day,104,13.432692307692308,0,7,9.75,13,17.25,20,36
Survey 3,Daily,536,13.759328358208956,1,7,9,12,17.25,23,36
Survey 3,Several times a week,840,12.658333333333333,0,6,9,12,16,20,35
Survey 3,Weekly,608,12.771381578947368,1,7,9,12,15,20,36
Survey 3,Less than weekly,421,12.539192399049881,0,6,9,12,15,21,35
Survey 3,Never,301,12.059800664451828,0,6,8,11,15,19,31
Survey 3,(Missing),96,13.760416666666666,4,7,10,13,17,21.5,32
