survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,Hourly,156,14.673076923076923,0,7,10,15,19,22,35
Survey 1,Up to twice a day,668,13.788922155688622,0,8,10,13,17,21,32
Survey 1,Daily,1346,13.50148588410104,1,8,10,13,16,20,35
Survey 1,Several times a week,555,13.778378378378378,2,8,10,13,16.5,20,35
Survey 1,Weekly,123,13.642276422764228,6,8.200000000000001,10,12,16,20,30
Survey 1,Less than weekly,43,14.116279069767442,5,8.2,11,13,16.5,21.800000000000004,28
Survey 1,Never,41,13.829268292682928,6,8,11,12,18,20,26
Survey 1,(Missing),58,15.206896551724139,4,8.7,11,15,19,22.300000000000004,30
Survey 2,Hourly,153,14.091503267973856,2,6.200000000000003,9,14,18,21.80000000000001,36
Survey 2,Up to twice a day,660,13.196969696969697,0,7,9,13,17,20,35
Survey 2,Daily,1336,13.072604790419161,2,7,9,12,16,20,33
Survey 2,Several times a week,547,12.97074954296161,2,7,9,12,16,21,34
Survey 2,Weekly,121,12.884297520661157,1,6,9,12,16,20,29
Survey 2,Less than weekly,43,13.465116279069768,5,8.2,12,13,15.5,19,24
Survey 2,Never,40,13.75,2,5,10.75,13,17.75,22.1,27
Survey 2,(Missing),77,14.506493506493506,4,8,10,14,18,23,28
Survey 3,Hourly,152,13.473684210526315,0,6,9,13,18,22,30
Survey 3,Up to twice a day,641,12.94383775351014,1,7,9,12,16,20,36
Survey 3,Daily,1307,12.667941851568477,0,6,9,12,16,21,36
Survey 3,Several times a week,542,12.813653136531366,3,7,9,12,16,20.900000000000034,34
Survey 3,Weekly,122,13.180327868852459,2,6.100000000000001,9.25,12,16,21,36
Survey 3,Less than weekly,40,13.35,7,8,10,12,14.25,21.1,28
Survey 3,Never,40,13.45,4,6.9,10,12.5,17.25,22,24
Survey 3,(Missing),73,14.273972602739725,4,8,10,14,17,21.799999999999997,32
