survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,Hourly,54,16.666666666666668,5,8.3,12,15.5,21.75,26.400000000000006,29
Survey 1,Up to twice a day,506,14.519762845849803,0,8,10,14,18,22,35
Survey 1,Daily,1156,13.469723183391004,1,8,10,13,16,20,35
Survey 1,Several times a week,765,13.580392156862745,1,8,10,13,16,20,35
Survey 1,Weekly,283,13.148409893992932,4,8,10,12,16,19,30
Survey 1,Less than weekly,127,13.354330708661417,5,8,11,13,16,18,26
Survey 1,Never,44,13.795454545454545,5,8,9.75,12,17.25,21.700000000000003,30
Survey 1,(Missing),55,14.963636363636363,4,8.4,10.5,14,19.5,22.6,30
Survey 2,Hourly,53,15.339622641509434,4,5.4,10,15,20,24.800000000000004,36
Survey 2,Up to twice a day,502,13.830677290836654,0,8,10,13,18,21.900000000000034,35
Survey 2,Daily,1144,12.848776223776223,2,7,9,12,16,20,34
Survey 2,Several times a week,758,12.911609498680738,2,7,9,12,16,20,34
Survey 2,Weekly,279,13.53405017921147,1,7,10,13,17,20.200000000000017,31
Survey 2,Less than weekly,124,12.798387096774194,5,7,10,12,15.25,19,31
Survey 2,Never,44,12.568181818181818,4,7,10,12,15.25,18,23
Survey 2,(Missing),73,14.698630136986301,3,8,10,14,18,24,28
Survey 3,Hourly,52,15.942307692307692,5,6,10.75,15,22,26.9,32
Survey 3,Up to twice a day,490,13.583673469387755,0,7,9,12,17,21,36
Survey 3,Daily,1108,12.470216606498195,0,6,9,12,15,20,36
Survey 3,Several times a week,750,12.741333333333333,0,7,9,12,16,20,35
Survey 3,Weekly,278,13.03956834532374,3,7,9,12,16,21.30000000000001,36
Survey 3,Less than weekly,125,12.392,1,6,8,12,15,20.60000000000001,26
Survey 3,Never,46,12.5,4,6,9.25,12,15,20,23
Survey 3,(Missing),68,14.147058823529411,4,6.7,10,14,18,22,32
