survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,Hourly,22,14.863636363636363,0,7.1,11,13.5,19.5,24.60000000000001,31
Survey 1,Up to twice a day,175,14.325714285714286,4,8,10,14,18,21,35
Survey 1,Daily,474,14.126582278481013,0,8,10.25,13,17,21,34
Survey 1,Several times a week,752,13.65691489361702,2,8,10,13,17,20,35
Survey 1,Weekly,634,13.362776025236593,1,8,10,12,16,20,35
Survey 1,Less than weekly,566,13.512367491166078,3,8,10,13,16,19,28
Survey 1,Never,295,13.698305084745762,4,8,11,13,16,19.600000000000023,35
Survey 1,(Missing),72,15.180555555555555,4,8,11,14,20.25,23,30
Survey 2,Hourly,22,15.772727272727273,6,7.1,11.5,14.5,21,24.800000000000004,25
Survey 2,Up to twice a day,172,13.377906976744185,2,7,10,13,17,21,32
Survey 2,Daily,473,13.704016913319238,0,8,10,13,17,21,35
Survey 2,Several times a week,741,13.20782726045884,2,7,9,13,16,20,34
Survey 2,Weekly,622,12.95176848874598,1,7,9,12,16,21,32
Survey 2,Less than weekly,557,12.933572710951527,2,7,9,13,16,19,31
Survey 2,Never,299,12.595317725752508,2,6.800000000000001,9,12,15,19,36
Survey 2,(Missing),91,14.153846153846153,2,8,10,14,18,23,28
Survey 3,Hourly,21,13.047619047619047,3,6,8,12,18,20,26
Survey 3,Up to twice a day,172,13.133720930232558,2,6.100000000000001,9,13,17,21,30
Survey 3,Daily,465,13.389247311827956,0,6,9,12,16,22,36
Survey 3,Several times a week,727,12.833562585969739,0,6,9,12,16,21,36
Survey 3,Weekly,612,12.570261437908497,0,7,9,12,15,21,36
Survey 3,Less than weekly,543,12.609576427255986,1,7,9,12,16,20,31
Survey 3,Never,293,12.877133105802049,2,7,9,12,16,21,31
Survey 3,(Missing),84,13.892857142857142,4,6.300000000000001,10,14,17,21,32
