survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,Hourly,510,15.437254901960785,3,9,11,15,19,23,35
Survey 1,Up to twice a day,769,13.77113133940182,0,8,10,13,17,20,35
Survey 1,Daily,687,13.378457059679768,1,8,10,13,16,20,34
Survey 1,Several times a week,255,12.83529411764706,2,7,10,12,15,19,34
Survey 1,Weekly,129,13.162790697674419,5,8,9,12,16,19.200000000000003,30
Survey 1,Less than weekly,177,13.497175141242938,3,8,11,13,15,19,31
Survey 1,Never,407,12.798525798525798,0,8,9,12,15,19,35
Survey 1,(Missing),56,14.839285714285714,4,9,11,14,18.25,22,30
Survey 2,Hourly,506,14.221343873517787,3,7,10,14,18,22,36
Survey 2,Up to twice a day,768,12.99609375,2,7,9,12,16,20,31
Survey 2,Daily,678,13.163716814159292,0,7,9,13,16,20,35
Survey 2,Several times a week,256,12.8515625,1,6,9,13,15,19,34
Survey 2,Weekly,124,13.17741935483871,2,7,10,12,17,20,29
Survey 2,Less than weekly,174,13.155172413793103,4,7,10,13,16,20,31
Survey 2,Never,396,12.179292929292929,2,6,8,11,15,19,31
Survey 2,(Missing),75,14.573333333333334,4,8,10,14,18,23.60000000000001,28
Survey 3,Hourly,489,13.736196319018404,0,7,9,12,17,22,36
Survey 3,Up to twice a day,737,12.778833107191316,0,7,9,12,16,20,35
Survey 3,Daily,671,12.810730253353205,0,6,9,12,16,21,36
Survey 3,Several times a week,254,12.118110236220472,0,6,8,12,15,19,34
Survey 3,Weekly,126,13.69047619047619,3,7,10,12,17,22,36
Survey 3,Less than weekly,170,12.870588235294118,1,6.900000000000002,9,12,15,21,30
Survey 3,Never,399,12.172932330827068,1,6,8,11,15,20,34
Survey 3,(Missing),71,13.943661971830986,4,7,10,13,17,22,32
