survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,Hourly,53,14.622641509433961,0,7,9,14,19,23.800000000000004,32
Survey 1,Up to twice a day,473,14,0,8,10,14,17,21,35
Survey 1,Daily,1399,13.486776268763402,1,8,10,13,16,20,35
Survey 1,Several times a week,666,14.05105105105105,4,8,11,13,17,20,35
Survey 1,Weekly,221,13.380090497737557,5,8,10,13,16,19,30
Survey 1,Less than weekly,77,13.2987012987013,2,7.600000000000001,10,13,16,19.400000000000006,28
Survey 1,Never,46,13.673913043478262,5,8,10,13,17,19.5,28
Survey 1,(Missing),55,14.927272727272728,4,8.4,10.5,14,18.5,22,30
Survey 2,Hourly,50,12.92,2,4.9,7,13,16.75,21.200000000000003,35
Survey 2,Up to twice a day,468,13.474358974358974,0,7,9,13,17,21,35
Survey 2,Daily,1393,12.96410624551328,2,7,9,12,16,20,36
Survey 2,Several times a week,656,13.295731707317072,2,7,9,13,16,21,34
Survey 2,Weekly,215,13.534883720930232,1,7,10,13,17,20,30
Survey 2,Less than weekly,74,13.108108108108109,5,8,10.25,13,15.75,19,27
Survey 2,Never,47,11.574468085106384,4,6,7,11,14,20,27
Survey 2,(Missing),74,14.513513513513514,4,8,10,14,17.75,23,28
Survey 3,Hourly,54,14.166666666666666,0,6,8.25,14,18,23.700000000000003,32
Survey 3,Up to twice a day,452,13.075221238938052,0,7,9,12,17,21,36
Survey 3,Daily,1357,12.697126013264555,0,6,9,12,16,20,36
Survey 3,Several times a week,651,12.950844854070661,1,7,9,12,16,21,34
Survey 3,Weekly,214,13.341121495327103,3,6,9,12,17,22,36
Survey 3,Less than weekly,72,12.472222222222221,2,7,8.75,12,15,20,26
Survey 3,Never,46,11.347826086956522,3,6.5,8,11,13,19,24
Survey 3,(Missing),71,13.492957746478874,1,7,9,13,17,21,32
