survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,Strongly disagree,59,14.152542372881356,0,6.800000000000001,9,13,20,24,28
Survey 1,Disagree,140,11.742857142857142,1,6,8.75,11.5,14,19,28
Survey 1,Neither agree nor disagree,262,12.30916030534351,2,7,9,12,15,17,25
Survey 1,Agree,1587,13.171392564587272,1,8,10,13,16,19,35
Survey 1,Strongly agree,891,15.37598204264871,3,9,11,15,19,23,35
Survey 1,(Missing),51,14.647058823529411,4,8,10,14,17.5,22,30
Survey 2,Strongly disagree,78,11.923076923076923,3,6,9,11,14,19.299999999999997,28
Survey 2,Disagree,316,11.927215189873417,2,6,9,11,15,18,27
Survey 2,Neither agree nor disagree,417,12.47242206235012,0,6,9,12,15,19,31
Survey 2,Agree,1565,12.868370607028753,1,7,9,12,16,20,33
Survey 2,Strongly agree,551,15.310344827586206,2,8,11,15,19,24,36
Survey 2,(Missing),50,15.12,4,7,10,15,19,23.1,32
Survey 3,Strongly disagree,115,11.843478260869565,0,5,8,11,15,19,31
Survey 3,Disagree,382,11.602094240837696,1,6,8,11,14,19,32
Survey 3,Neither agree nor disagree,467,12.565310492505354,0,7,9,12,15,21,31
Survey 3,Agree,1404,12.626068376068377,0,6,9,12,16,20,36
Survey 3,Strongly agree,456,15.203947368421053,2,7,10,14,19,25,36
Survey 3,(Missing),93,13.408602150537634,4,8,10,12,17,21,29
