survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,Completely unprepared,90,18.58888888888889,8,11,13.25,18,22,28,35
Survey 1,Somewhat unprepared,736,15.307065217391305,4,9,12,15,18,22,35
Survey 1,Neither unprepared or prepared,305,14.062295081967212,5,8,11,14,17,21,35
Survey 1,Somewhat prepared,1564,13.072890025575447,2,8,10,13,16,19,32
Survey 1,Very prepared,243,10.7119341563786,0,6,8,10,13,17,25
Survey 1,(Missing),52,14.942307692307692,4,8,10,15,18.25,22,30
Survey 2,Completely unprepared,23,18.695652173913043,5,11,14,17,22.5,28.8,36
Survey 2,Somewhat unprepared,211,16.14218009478673,4,9,12,15,20,25,35
Survey 2,Neither unprepared or prepared,190,14.963157894736842,2,9,11,14,18,22,30
Survey 2,Somewhat prepared,1579,13.37112096263458,2,7,10,13,16,20,34
Survey 2,Very prepared,925,11.581621621621622,0,6,8,11,15,18,31
Survey 2,(Missing),49,14.816326530612244,4,7.800000000000001,10,15,19,23,32
Survey 3,Completely unprepared,29,17.413793103448278,4,7.4,11,14,26,30.2,36
Survey 3,Somewhat unprepared,178,15.438202247191011,1,8,11,14,19,23.30000000000001,32
Survey 3,Neither unprepared or prepared,145,16.131034482758622,1,9,12,15,20,24,34
Survey 3,Somewhat prepared,1370,13.358394160583941,1,7,9,12,16,21,36
Survey 3,Very prepared,1117,11.292748433303492,0,6,8,11,14,18,32
Survey 3,(Missing),78,13.615384615384615,4,8,10.25,12,17,21,26
