survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,East Midlands,169,14.461538461538462,4,8.8,11,13,18,22.200000000000017,35
Survey 1,East of England,165,13.763636363636364,3,8,10,12,17,22,30
Survey 1,London,447,14.223713646532438,1,8,11,14,17,21,35
Survey 1,North East,127,13.023622047244094,5,7,9,13,16,20,28
Survey 1,North West,322,14.021739130434783,5,8,10,13.5,17,21,32
Survey 1,South East,347,13.146974063400576,0,7,9,13,16,20,29
Survey 1,South West,421,13.437054631828978,0,8,10,13,17,20,34
Survey 1,West Midlands,178,13.764044943820224,4,8,10,13,17,20,29
Survey 1,Yorkshire and the Humber,204,14.200980392156863,2,8,11,14,17,21,35
Survey 1,Northern Ireland,83,13.602409638554217,6,8,11,13,16,19,25
Survey 1,Scotland,247,13.619433198380566,1,8,10,13,16,19,32
Survey 1,Wales,90,14.4,6,8.9,11,13.5,17.75,22,28
Survey 1,Dublin,107,12.83177570093458,5,8,10,12,15,18,31
Survey 1,Rest of Ireland,83,13.060240963855422,6,8,9,12,16,19,24
Survey 2,East Midlands,165,13.89090909090909,3,7,10,13,17,21,36
Survey 2,East of England,164,13.792682926829269,4,7.300000000000001,10,13,17,21,35
Survey 2,London,434,13.688940092165899,1,7,9,13,17,21,34
Survey 2,North East,128,12.984375,4,7,9,12,16,20,29
Survey 2,North West,326,12.960122699386503,2,7,9,13,16,19,34
Survey 2,South East,347,12.386167146974064,2,6,8,12,16,19,35
Survey 2,South West,419,12.766109785202865,0,7,9,12,16,20,33
Survey 2,West Midlands,177,13.774011299435028,3,8,10,13,17,20,30
Survey 2,Yorkshire and the Humber,207,13.502415458937199,4,7,10,13,16,21,30
Survey 2,Northern Ireland,86,12.44186046511628,3,6,9,12,15,20,25
Survey 2,Scotland,244,13.270491803278688,2,7,10,13,16,20.700000000000017,31
Survey 2,Wales,87,13.528735632183908,4,7.199999999999999,10,13,17,20,30
Survey 2,Dublin,108,12.787037037037036,4,6.700000000000001,9,12,16,20,26
Survey 2,Rest of Ireland,85,12.976470588235294,2,7,9,12,16,20,29
Survey 3,East Midlands,162,14.537037037037036,4,8,10,13,18,23,36
Survey 3,East of England,161,13.372670807453416,3,7,10,12,16,21,31
Survey 3,London,437,13.345537757437071,2,6,9,12,17,22,35
Survey 3,North East,124,12.612903225806452,1,6,9,12,16,20,31
Survey 3,North West,316,12.775316455696203,0,7,9,12,15,20,36
Survey 3,South East,346,12.078034682080926,1,6,8,11,15,19,35
Survey 3,South West,398,11.819095477386934,0,6,8,11.5,14.75,19,36
Survey 3,West Midlands,177,13.898305084745763,2,8,9,13,17,22,29
Survey 3,Yorkshire and the Humber,197,13.345177664974619,3,6.600000000000001,9,12,17,21,36
Survey 3,Northern Ireland,80,12.5,3,6.9,8.75,11,17,20.10000000000001,26
Survey 3,Scotland,242,13.297520661157025,0,7,9,13,17,21,32
Survey 3,Wales,84,13.05952380952381,6,7,9,12,16,21,32
Survey 3,Dublin,108,12.046296296296296,3,6.700000000000001,9,11,15,19.299999999999997,27
Survey 3,Rest of Ireland,85,12.235294117647058,1,7,8,12,15,20,25
