survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,Extremely worried,325,17.40923076923077,6,10,13,17,21,26,35
Survey 1,Generally worried,1385,14.366064981949458,2,9,11,14,17,21,35
Survey 1,Neither worried or not worried,489,12.276073619631902,3,7,9,12,15,18,28
Survey 1,Generally not worried,689,11.959361393323658,0,7,8,11,15,18,32
Survey 1,Not worried at all,50,9.96,0,5,7,10,12,16.1,22
Survey 1,(Missing),52,14.576923076923077,4,8.100000000000001,10,14,17.25,22,30
Survey 2,Extremely worried,247,16.838056680161944,2,8,12,16,21,25.400000000000006,36
Survey 2,Generally worried,1277,13.86296006264683,2,8,10,13,17,21,32
Survey 2,Neither worried or not worried,564,12.304964539007091,2,7,9,12,15,18,30
Survey 2,Generally not worried,770,11.467532467532468,0,6,8,11,14,18,30
Survey 2,Not worried at all,68,12.205882352941176,2,6.7,8.75,12,15,19.300000000000004,31
Survey 2,(Missing),51,15.07843137254902,4,7,10,15,19.5,23,32
Survey 3,Extremely worried,217,16.18433179723502,3,8,11,15,20,27,36
Survey 3,Generally worried,1121,13.371989295272078,0,7,10,12,17,21,35
Survey 3,Neither worried or not worried,542,12.583025830258302,0,6,9,12,15.75,20,36
Survey 3,Generally not worried,825,11.666666666666666,0,6,8,11,14,18,36
Survey 3,Not worried at all,116,11.387931034482758,0,5,7,10,15,20,31
Survey 3,(Missing),96,13.552083333333334,4,8,10,12,17,21,29
