name,vartype,n,n_missing,pct_missing,pval_0s0,pval_s0s1,pval_s0s2,pval_s1s2,R2nakagawa.marg_0,R2nakagawa.cond_0,R2cor.marg_0,R2cor.cond_0,R2xu.marg_0,R2xu.cond_0,R2nakagawa.marg_1,R2nakagawa.cond_1,R2cor.marg_1,R2cor.cond_1,R2xu.marg_1,R2xu.cond_1,R2nakagawa.marg_2,R2nakagawa.cond_2,R2cor.marg_2,R2cor.cond_2,R2xu.marg_2,R2xu.cond_2
Age,personal,8870,14,0.0015758667266996848,6.4823144204385024e-18,0.47959590287484155,0.1626827563776648,0.10958735544152265,0.004256330977259725,0.532501492838866,0.004379468092510794,0.6933820085827834,0.004378627972072668,0.6559672086691216,0.005932000824236011,0.533367490067055,0.0059709700035000405,0.6932427093338246,0.005970944966731784,0.6560875288956193,0.007160860037341482,0.5342550837234786,0.01768563012963988,0.6943098509209638,0.007266714566757759,0.6573532706079649
Frequency of clinical updates - Government,professional,8688,196,0.022062134173795586,3.1406641530212073e-17,1.8550317530257167e-7,4.587391382844793e-6,0.19884872890902328,0.004174612224233574,0.5313673887398674,0.004436995546741144,0.6923661713779985,0.004432994764724585,0.6549830521203361,0.013760474360576756,0.5319199796628169,0.014335321986829177,0.6914231663103295,0.014329792484466974,0.6545554237597461,0.014617305972063895,0.5326334917202752,0.036887135186719315,0.6922369328746906,0.015121288588528237,0.6555012404028409
Frequency of clinical updates - College,professional,8605,279,0.03140477262494372,2.794564164937489e-17,3.0162526652195474e-7,4.010549526182209e-8,0.003439419892778754,0.004212773148482249,0.5331490540641671,0.004454890388312444,0.6935536467916619,0.0044515163961035276,0.6564906525037895,0.013634291665292944,0.5337570135231074,0.013963541437925065,0.6926633877234177,0.013961800142249459,0.6561071059208108,0.015212005556493272,0.5354352090200537,0.03779950680189956,0.6940965124366569,0.015619626202372783,0.6579005967106137
Frequency of clinical updates - Trust,professional,8684,200,0.0225123818099955,8.476042037213703e-17,0.08920714919290625,0.07352112147339937,0.17668264169459752,0.004050500387278608,0.5333076308731314,0.004295125783206109,0.6937436960797254,0.004291527848338084,0.6567121231652966,0.006575857895968414,0.5339980843695591,0.006666905522733826,0.6935326296578616,0.006666650220226944,0.6567457594206427,0.00745249041286939,0.5345105033787045,0.0186367812788799,0.6942666561404044,0.007674211918449303,0.6576070668014488
Frequency of clinical updates - Departmental guidance,professional,8676,208,0.02341287708239532,3.488169842167922e-17,0.1735372172778723,0.6844376432850621,0.9317948404676183,0.004157357351606493,0.5327438219013996,0.004407958520400169,0.6932777281304134,0.004404297254590572,0.6561450391557634,0.006228941971108433,0.5334335961228885,0.006338753376692854,0.6931067094757427,0.006338351048651436,0.6562027921059599,0.006532722958165114,0.5332854448101099,0.016072380546507732,0.6934081602083235,0.006593043830896872,0.6564552514350224
Frequency of clinical updates - Social Media,professional,8682,202,0.022737505628095452,3.3289606205921785e-17,2.7556523399338297e-11,1.7332724411629542e-12,6.619596517046847e-4,0.004161618919064222,0.5324880614408534,0.004411173961464048,0.693167517940938,0.004407534155989046,0.655983065734868,0.018114021100591796,0.5330980933279267,0.01849232649125292,0.6918366009184083,0.01849060860646856,0.6553338959345344,0.0199183538509273,0.5352335589049186,0.049125861277493854,0.6935349561406511,0.02030243231837625,0.6574728974389792
Frequency of clinical updates - Blogs and podcasts,professional,8645,239,0.02690229626294462,2.391281458027279e-16,4.646340246291201e-7,1.699557360242599e-8,0.001140608676408715,0.003961646342905757,0.5323259307921854,0.004200634516527355,0.6929904145528237,0.004197144528804042,0.6557742565237006,0.013180433204832299,0.5329559151753317,0.013514931261021115,0.6921174970119564,0.013513071748575523,0.6554006280635807,0.014919395363097927,0.5351106694134873,0.03669936484876943,0.6938000086747049,0.01514663744598388,0.657510183745921
Frequency of clinical updates - peer-reviewed literature,professional,8637,247,0.02780279153534444,1.4566682486089995e-16,0.030582394489786436,0.13932422246431472,0.5649259644457957,0.004022808121351488,0.5320614221536512,0.004279602161268093,0.6928738678252175,0.0042755958844867825,0.6556586337000703,0.007223383769116302,0.5327063226365178,0.007490860742780362,0.6925779740169256,0.007488574426010031,0.6556342301322292,0.007791930995520893,0.5328467694348034,0.019774946770043128,0.6930746725682498,0.008106719411420715,0.6561632100550665
Exposure to suspected COVID-19 cases,professional,8714,170,0.019135524538496172,4.380642524861509e-17,0.0023597717750317056,0.0023809568068376614,0.08355891861520477,0.004116152167961012,0.5362429088113628,0.00433480584980872,0.6980804479386141,0.004332196391176546,0.6601629392966679,0.006088585841480288,0.5371650093645377,0.006790800020651776,0.6987662932836559,0.006772398834634652,0.6611601376446226,0.007676572673363389,0.5385877007370107,0.019599229743827634,0.6999155704844517,0.008108646793716812,0.6625945366635072
Exposure to confirmed case,professional,7777,1107,0.12460603331832508,7.294854152193991e-10,0.014869812190550436,0.3237957350524762,0.9759882639833757,0.0026281905179926317,0.549338529958335,0.0024410395120310854,0.7203103954535622,0.0024373623924921484,0.6792935605395736,0.00408560769190317,0.5498023881067421,0.004564579507221095,0.7206765795094173,0.004551835262056825,0.6798936370752054,0.004410799286436618,0.5497813805833439,0.011210167674990902,0.7209467942676338,0.004689481019078179,0.6801283819565714
Confidence in infection control training provided,professional,8700,184,0.020711391265195857,8.808473227191348e-17,2.7024408344591505e-41,1.8398278719068846e-37,0.2628657147701781,0.004055443704361597,0.5352341975689283,0.0042982663296707605,0.6976170217025015,0.004295000074154398,0.6593818506301439,0.02617802322899714,0.5242772476584818,0.05181384464653924,0.6929623213537192,0.04726730758293862,0.656473189934204,0.02678760787743599,0.5247107105394013,0.1270909641244098,0.6934166923746542,0.047916270241984416,0.6570206193137004
How prepared do you feel to provide direct care to suspected COVID-19 cases?,professional,8705,179,0.02014858171994597,7.271733539664062e-17,2.0666793199199642e-74,4.6408121270963806e-70,0.14761811233993757,0.004077702934477185,0.5349821668124413,0.00432426387527459,0.6973223774117774,0.004320922991780551,0.659072197586805,0.04098160762182716,0.5243188922619698,0.07713384780326979,0.6933906487517664,0.07101445662355343,0.6587169332512138,0.041978057412958965,0.5242731818746182,0.18811106041527623,0.6935807835812327,0.0725246336571913,0.6589965937623254
