x,predicted,std.error,conf.low,conf.high,group
20-25,13.604449741550502,0.5095356797757838,12.605778160351832,14.603121322749171,Survey 1
20-25,12.944841078353567,0.5125259834868032,11.940308609578462,13.949373547128673,Survey 2
20-25,12.558880928047156,0.5123315879513748,11.554729467520247,13.563032388574065,Survey 3
26-30,13.59064959985237,0.19924620169632923,13.200134220471162,13.981164979233577,Survey 1
26-30,13.34348795086449,0.19908036180709923,12.953297611693372,13.73367829003561,Survey 2
26-30,13.043934912940767,0.19908036180710012,12.653744573769647,13.434125252111887,Survey 3
31-35,14.222557284004656,0.20688255279497894,13.81707493149679,14.628039636512522,Survey 1
31-35,13.217999242107473,0.20671043066273226,12.812854242779753,13.623144241435192,Survey 2
31-35,12.860007716297046,0.20863193266127986,12.451096642255951,13.268918790338141,Survey 3
36-40,13.839035362693462,0.24262572814166214,13.363497673812997,14.314573051573927,Survey 1
36-40,13.460876762236165,0.2429476625449254,12.98470809351992,13.93704543095241,Survey 2
36-40,12.98038656637223,0.24528618769618726,12.49963447258257,13.46113866016189,Survey 3
41-45,13.46405256439925,0.2681933214999427,12.93840331336519,13.989701815433309,Survey 1
41-45,13.266787581423683,0.2710801807168503,12.735480190296048,13.798094972551318,Survey 2
41-45,13.137396867812333,0.27179742648922095,12.604683700802788,13.670110034821878,Survey 3
46-50,13.244754438630075,0.32219105158943623,12.613271581373693,13.876237295886456,Survey 1
46-50,12.628922841045263,0.32366291393047586,11.994555186610244,13.263290495480282,Survey 2
46-50,12.559384045141153,0.3269156662058897,11.91864111339569,13.200126976886615,Survey 3
51-55,13.779399678349789,0.3835727847819119,13.027610834727508,14.53118852197207,Survey 1
51-55,12.528140827654012,0.3816502490669508,11.780120084792047,13.276161570515976,Survey 2
51-55,12.440283666525467,0.38422492729273766,11.68721664706918,13.193350685981754,Survey 3
56-60,14.291245036040678,0.5230478323653482,13.266090122412852,15.316399949668504,Survey 1
56-60,13.319595563628514,0.5263120145815398,12.288042970417976,14.351148156839052,Survey 2
56-60,13.4275311348689,0.53883476615638215,12.371434399584329,14.483627870153471,Survey 3
>60,12.88436143289158,0.7758936291288063,11.363637863965042,14.405085001818119,Survey 1
>60,13.408163265306134,0.7656637701931633,11.907489851460383,14.908836679151886,Survey 2
>60,12.219039819889828,0.7926877376844482,10.665400403041776,13.77267923673788,Survey 3
