x,predicted,std.error,conf.low,conf.high,group
anaes,14.452002595598028,0.18325474037969328,14.092829904457592,14.811175286738465,Survey 1
anaes,13.578226827396854,0.183906141437641,13.217777413643349,13.93867624115036,Survey 2
anaes,12.91948624582854,0.18543017565805028,12.556049779891826,13.282922711765256,Survey 3
anaes+ICU,14.144134027700897,0.3555124358625122,13.447342457354267,14.840925598047527,Survey 1
anaes+ICU,13.741070338251799,0.3540054241982276,13.047232456491448,14.434908220012149,Survey 2
anaes+ICU,13.381122400464827,0.3591642882660453,12.677173330930417,14.085071469999237,Survey 3
ED,13.277256204114426,0.13391564054493663,13.014786371679739,13.539726036549114,Survey 1
ED,12.81107400272332,0.13411032546950538,12.548222594848145,13.073925410598495,Survey 2
ED,12.77574135984474,0.13475565807909237,12.511625123296726,13.039857596392755,Survey 3
ICU,13.841488448634639,0.32413854380788737,13.206188576769922,14.476788320499356,Survey 1
ICU,13.517629542457692,0.3240889872472357,12.88242679966705,14.152832285248335,Survey 2
ICU,13.015263510599112,0.32695228098531515,12.374448815204675,13.65607820599355,Survey 3
Other,14.09851096513397,0.6039571288403465,12.914776744400674,15.282245185867266,Survey 1
Other,14.047939325390644,0.6039571288403466,12.864205104657348,15.23167354612394,Survey 2
Other,13.645569620253161,0.6015180892461173,12.466615829281421,14.8245234112249,Survey 3
