x,predicted,std.error,conf.low,conf.high,group
Not confident at all,15.63471958941653,0.28587315564574944,15.074418500204048,16.195020678629014,Survey 1
Not confident at all,14.7086075289419,0.39273770131288965,13.938855778997588,15.478359278886213,Survey 2
Not confident at all,15.617114644763875,0.4182260887433033,14.797406573431948,16.4368227160958,Survey 3
Somewhat not confident,14.397828836408612,0.17797289631950458,14.049008369398102,14.746649303419122,Survey 1
Somewhat not confident,14.005002880659694,0.23226948736669462,13.549763050713391,14.460242710605996,Survey 2
Somewhat not confident,13.992668848319072,0.23232966781483677,13.537311066861838,14.448026629776306,Survey 3
Neither not confident or confident,13.911022114049532,0.17764381753001326,13.562846629614501,14.259197598484562,Survey 1
Neither not confident or confident,13.744464947997677,0.2196240920681313,13.314009637406832,14.174920258588523,Survey 2
Neither not confident or confident,13.427064392254582,0.20753351443734944,13.020306178372355,13.83382260613681,Survey 3
Somewhat confident,13.187042121238386,0.13246803776148175,12.92740953812319,13.446674704353583,Survey 1
Somewhat confident,13.000730964956917,0.12310431218315711,12.759450946736354,13.24201098317748,Survey 2
Somewhat confident,12.705036993865967,0.12781503922246845,12.454524120307354,12.95554986742458,Survey 3
Very confident,11.740438001752192,0.34672035022501163,11.060878602604056,12.419997400900328,Survey 1
Very confident,12.241279920942954,0.1979327759912027,11.853338808640164,12.629221033245745,Survey 2
Very confident,11.70111484163356,0.19458037584830776,11.31974431287261,12.08248537039451,Survey 3
