x,predicted,std.error,conf.low,conf.high,group
0,13.441382167567003,0.1504489011238276,13.146507739850673,13.736256595283333,Survey 1
0,13.310510486244954,0.31534425182499126,12.692447109936243,13.928573862553666,Survey 2
0,12.712332834783462,0.38216484185877175,11.963303508582824,13.4613621609841,Survey 3
1-5,13.764620278937093,0.14409466101378968,13.482199932985557,14.047040624888629,Survey 1
1-5,13.326902755193201,0.17684279901718744,12.980297238194257,13.673508272192144,Survey 2
1-5,12.869132596935069,0.19230991313729157,12.49221209331595,13.246053100554187,Survey 3
6-10,13.397972104296263,0.37915000481834776,12.654851750114114,14.141092458478413,Survey 1
6-10,12.768957320716519,0.20750959468749805,12.362245988682519,13.175668652750518,Survey 2
6-10,12.760532416563322,0.2147692534392237,12.339592414835888,13.181472418290756,Survey 3
11-15,13.894187142212886,0.6436679596649713,12.632621123267162,15.155753161158609,Survey 1
11-15,13.040461133408241,0.2372949995495664,12.575371480579642,13.50555078623684,Survey 2
11-15,12.841521018410159,0.2518813768392922,12.347842591428785,13.335199445391533,Survey 3
16-20,12.764427798623283,0.9484528476004246,10.905494376291994,14.623361220954571,Survey 1
16-20,12.907924845311962,0.24922153295890118,12.419459616540653,13.396390074083271,Survey 2
16-20,12.450525323246977,0.25830749444076584,11.944251937206296,12.956798709287657,Survey 3
21-25,13.019418619977738,1.4874221300731558,10.104124815226502,15.934712424728975,Survey 1
21-25,13.270205437840909,0.3101581489370831,12.662306636412616,13.878104239269202,Survey 2
21-25,13.201375985711138,0.3043698588072129,12.60482202446946,13.797929946952816,Survey 3
>25,14.010818336239826,1.2221728342528446,11.61540359822101,16.40623307425864,Survey 1
>25,13.442974553870707,0.19519995565973428,13.060389670993812,13.825559436747602,Survey 2
>25,13.168855340676973,0.17105075787542867,12.833602015712852,13.504108665641095,Survey 3
