x,predicted,std.error,conf.low,conf.high,group
Hourly,16.751663917499382,0.509316822078869,15.753421289504404,17.74990654549436,Survey 1
Hourly,15.348277364430373,0.5123410492882905,14.344107360023864,16.352447368836884,Survey 2
Hourly,13.850325184300626,0.5123410492882892,12.846155179894119,14.854495188707133,Survey 3
Up to twice a day,14.659347435412066,0.2820605563052614,14.106518903594422,15.21217596722971,Survey 1
Up to twice a day,13.706726527109831,0.2818376371580802,13.154334908792126,14.259118145427536,Survey 2
Up to twice a day,13.408242830470718,0.2852603293919319,12.849142858644498,13.967342802296937,Survey 3
Daily,13.626501885670452,0.22763489261023007,13.180345694529759,14.072658076811145,Survey 1
Daily,13.194726271052021,0.22771803868429774,12.7484071166007,13.641045425503343,Survey 2
Daily,13.100455638985094,0.2287264639268489,12.65216000737727,13.548751270592918,Survey 3
Several times a week,13.523299217121425,0.24355544562227166,13.045939315463169,14.00065911877968,Survey 1
Several times a week,12.984505674382085,0.24423736711782995,12.50580923115225,13.46320211761192,Survey 2
Several times a week,12.43816716214711,0.24680061299501346,11.954446849314476,12.921887474979744,Survey 3
Weekly,13.336199947295114,0.2851869926788557,12.77724371278527,13.895156181804959,Survey 1
Weekly,12.850683674793268,0.2870554487695889,12.288065333638892,13.413302015947645,Survey 2
Weekly,12.345287543074704,0.28787612072642443,11.781060714441807,12.909514371707601,Survey 3
Less than weekly,13.30970529227756,0.256341414300297,12.807285352502916,13.812125232052203,Survey 1
Less than weekly,13.09732456723466,0.259103328951139,12.589491374215992,13.605157760253327,Survey 2
Less than weekly,12.83154912427291,0.2615995094150078,12.318823507446147,13.344274741099671,Survey 3
Never,13.314775336739226,0.20530089994012618,12.912392966862917,13.717157706615534,Survey 1
Never,12.794837522694568,0.20594966942959994,12.391183587984623,13.198491457404513,Survey 2
Never,12.92177743100768,0.206442696551658,12.517157180895099,13.32639768112026,Survey 3
