x,predicted,std.error,conf.low,conf.high,group
Hourly,18.170440882585794,1.5813171660953875,15.071116188903893,21.269765576267694,Survey 1
Hourly,19.666666666575566,1.5375317646520494,16.653159782771233,22.680173550379898,Survey 2
Hourly,15.33733134808917,1.5813171660940797,12.238006654409833,18.436656041768508,Survey 3
Up to twice a day,14.366177650495555,0.5016614246352771,13.382939325777357,15.349415975213752,Survey 1
Up to twice a day,13.770577471074077,0.5047555846817005,12.781274704102486,14.759880238045668,Survey 2
Up to twice a day,13.444739953067769,0.5140316277359243,12.437256475790857,14.45222343034468,Survey 3
Daily,14.140227375648003,0.22462325159307608,13.699973892435294,14.580480858860712,Survey 1
Daily,14.007152883079563,0.22512488453753227,13.565916217362261,14.448389548796865,Survey 2
Daily,13.73483061387421,0.22755397874007982,13.288833011004861,14.18082821674356,Survey 3
Several times a week,14.031986611789048,0.18011023283499536,13.678977042185334,14.384996181392761,Survey 1
Several times a week,12.985865640876558,0.1809247671389609,12.6312596133729,13.340471668380216,Survey 2
Several times a week,12.716609875631406,0.18202928976697175,12.359839023556736,13.073380727706075,Survey 3
Weekly,13.164482477403755,0.21211273935452768,12.74874914760675,13.58021580720076,Survey 1
Weekly,12.878221317637898,0.21344856116131067,12.459869825209834,13.296572810065962,Survey 2
Weekly,12.760792975981968,0.21415355375317327,12.341059723464486,13.180526228499449,Survey 3
Less than weekly,13.293916681478015,0.25532972423928185,12.79347961778648,13.79435374516955,Survey 1
Less than weekly,12.973222319959147,0.25631304370272706,12.47085798553396,13.475586654384333,Survey 2
Less than weekly,12.597541663940106,0.25729103977372514,12.093260492438743,13.10182283544147,Survey 3
Never,13.328005162758402,0.3051880276450852,12.72984762006122,13.926162705455583,Survey 1
Never,12.387053001523434,0.30394108758618865,11.791339416432571,12.982766586614297,Survey 2
Never,12.101886261944918,0.30522947130505257,11.503647491166813,12.700125032723022,Survey 3
