x,predicted,std.error,conf.low,conf.high,group
Hourly,14.729120679438402,0.42655389671618005,13.893090404409472,15.565150954467333,Survey 1
Hourly,14.168732965239828,0.4292104933893183,13.327495856410097,15.009970074069559,Survey 2
Hourly,13.420604011268018,0.43011556222417335,12.577593000118442,14.263615022417595,Survey 3
Up to twice a day,13.795230075806787,0.20612481069275138,13.391232870528857,14.199227281084717,Survey 1
Up to twice a day,13.200903100051365,0.2069580267372529,12.795272821334871,13.606533378767859,Survey 2
Up to twice a day,13.01749656723215,0.20891134153733273,12.608037861857031,13.42695527260727,Survey 3
Daily,13.51405389527476,0.14502172974822067,13.229816527992547,13.798291262556972,Survey 1
Daily,13.06207134883007,0.1453725752915118,12.77714633691887,13.34699636074127,Survey 2
Daily,12.676954835621052,0.14641099067143856,12.389994566964202,12.963915104277902,Survey 3
Several times a week,13.758539145185278,0.22619526367388937,13.315204574910913,14.201873715459643,Survey 1
Several times a week,13.036061801629197,0.22726330325390184,12.590633912243945,13.481489691014449,Survey 2
Several times a week,12.841672035444027,0.2279333698938118,12.39493083957731,13.288413231310745,Survey 3
Weekly,13.573237018208431,0.4792561437094879,12.633912237168282,14.51256179924858,Survey 1
Weekly,12.913739890778327,0.481785736356282,11.969457199254904,13.85802258230175,Survey 2
Weekly,13.213174473932527,0.4805122373288804,12.271387794637159,14.154961153227896,Survey 3
Less than weekly,14.116279069767405,0.8152900767052528,12.518339882472212,15.714218257062598,Survey 1
Less than weekly,13.465116279069758,0.8152900767052529,11.867177091774565,15.06305546636495,Survey 2
Less than weekly,13.542789704542127,0.8344055538887011,11.907384870420078,15.178194538664176,Survey 3
Never,13.829268292682912,0.8349384393034313,12.192819022340105,15.465717563025718,Survey 1
Never,13.711620990141038,0.8415149181416992,12.062282058130135,15.36095992215194,Survey 2
Never,13.601238539456117,0.8415149181416992,11.951899607445215,15.25057747146702,Survey 3
