x,predicted,std.error,conf.low,conf.high,group
Hourly,16.613987035623417,0.7217281147268242,15.19942592412885,18.028548147117984,Survey 1
Hourly,15.339223208458522,0.7260878784514846,13.916117117082516,16.762329299834526,Survey 2
Hourly,15.916732935121804,0.7305877889274867,14.48480718127918,17.348658688964427,Survey 3
Up to twice a day,14.493567136565776,0.23582338461372682,14.031361796010534,14.955772477121018,Survey 1
Up to twice a day,13.831634638666332,0.23642567580271415,13.368248829072469,14.295020448260194,Survey 2
Up to twice a day,13.621256963156203,0.23830108185216467,13.154195425249029,14.088318501063377,Survey 3
Daily,13.475878540955673,0.15597971712805478,13.17016391306594,13.781593168845406,Survey 1
Daily,12.87715858444839,0.156509870558461,12.57040487492878,13.183912293968,Survey 2
Daily,12.504302113802535,0.15814592554882625,12.194341795425082,12.814262432179987,Survey 3
Several times a week,13.598749989414111,0.19138757909859921,13.223637227292546,13.973862751535677,Survey 1
Several times a week,12.90916498462096,0.19194629957895906,12.532957150480463,13.285372818761456,Survey 2
Several times a week,12.762082359894917,0.19262769590455012,12.384539013497065,13.139625706292769,Survey 3
Weekly,13.135422686052529,0.3149237948807029,12.518183390211671,13.752661981893386,Survey 1
Weekly,13.581853482756713,0.31646521156602897,12.961593065727449,14.202113899785978,Survey 2
Weekly,13.084828617410494,0.31683296794070076,12.463847411131788,13.7058098236892,Survey 3
Less than weekly,13.39097403618718,0.47035230658507887,12.469100455235083,14.312847617139276,Survey 1
Less than weekly,12.772290276844403,0.47414749504503356,11.842978263196255,13.701602290492552,Survey 2
Less than weekly,12.40378719308494,0.47276535545093706,11.477184123262827,13.330390262907052,Survey 3
Never,13.863485010729475,0.7928785913676042,12.30947152753612,15.41749849392283,Survey 1
Never,12.579802050598547,0.7935851649077789,11.02440370871402,14.135200392483073,Survey 2
Never,12.524416674381456,0.7822520640696387,10.991230801972845,14.057602546790067,Survey 3
