x,predicted,std.error,conf.low,conf.high,group
Hourly,14.863636363823268,1.1383822928420966,12.63244806921463,17.094824658431907,Survey 1
Hourly,15.772727272838303,1.1383822928371192,13.541538978239421,18.003915567437186,Survey 2
Hourly,13.46558032485595,1.1554320336077917,11.200975152400805,15.730185497311094,Survey 3
Up to twice a day,14.296786131818733,0.40156992709314604,13.509723537441792,15.083848726195674,Survey 1
Up to twice a day,13.419709021104872,0.4038072159569762,12.62826142113181,14.211156621077933,Survey 2
Up to twice a day,13.106093025764011,0.4038072159569762,12.31464542579095,13.897540625737072,Survey 3
Daily,14.14161498265818,0.24373377532786936,13.663905561199579,14.61932440411678,Survey 1
Daily,13.740441244242394,0.2438782004766318,13.262448754693757,14.21843373379103,Survey 2
Daily,13.363372610925223,0.2452641615580896,12.882663687572954,13.844081534277493,Survey 3
Several times a week,13.67098770775042,0.19416117747775738,13.290438792698126,14.051536622802715,Survey 1
Several times a week,13.205616763644114,0.19508862441421973,12.823250085998781,13.587983441289447,Survey 2
Several times a week,12.857281278567957,0.1962994567783224,12.472541413097668,13.242021144038246,Survey 3
Weekly,13.35912763215028,0.2114089776161152,12.944773650014259,13.7734816142863,Survey 1
Weekly,12.9920333389563,0.21269204376265466,12.575164593383281,13.40890208452932,Survey 2
Weekly,12.624683429244724,0.21381921612867175,12.205605466429942,13.043761392059507,Survey 3
Less than weekly,13.502004800232925,0.22372094109116616,13.063519813106833,13.940489787359017,Survey 1
Less than weekly,12.915833044946954,0.22493739495727902,12.474963852054426,13.356702237839482,Survey 2
Less than weekly,12.679071142095594,0.22678957373964864,12.234571745496693,13.123570538694496,Survey 3
Never,13.691223648681211,0.30868743786728214,13.086207387981393,14.296239909381029,Survey 1
Never,12.58863297973651,0.3073989640467749,11.986142081319908,13.19112387815311,Survey 2
Never,12.880549230267077,0.30936421929957203,12.274206502334565,13.486891958199589,Survey 3
