x,predicted,std.error,conf.low,conf.high,group
Hourly,15.453822375149947,0.23451231843937356,14.994186677077787,15.913458073222108,Survey 1
Hourly,14.177868891802087,0.23510655250837972,13.717068516356287,14.638669267247886,Survey 2
Hourly,13.764419252596635,0.237722620759084,13.298491477598358,14.230347027594913,Survey 3
Up to twice a day,13.770108632289437,0.1908843186573142,13.395982242507634,14.144235022071241,Survey 1
Up to twice a day,13.036092877720753,0.19097446841425364,12.661789797662134,13.410395957779372,Survey 2
Up to twice a day,12.845718382954171,0.19354895592446988,12.46636940009688,13.225067365811462,Survey 3
Daily,13.386327572598129,0.20167706343114603,12.991047791765283,13.781607353430974,Survey 1
Daily,13.194242986638367,0.2025378466047335,12.79727610178679,13.591209871489943,Survey 2
Daily,12.790008019089699,0.20324445854502404,12.391656200284109,13.18835983789529,Survey 3
Several times a week,12.847420937842468,0.33085918643791173,12.198948848469938,13.495893027214999,Survey 1
Several times a week,12.843417189185233,0.3304421488669747,12.19576247843194,13.491071899938527,Survey 2
Several times a week,12.159872694816832,0.3312789765560542,11.510577831931677,12.809167557701986,Survey 3
Weekly,13.14737221728956,0.46535558727650156,12.235292026223132,14.059452408355988,Survey 1
Weekly,13.191730710794364,0.4713665804527571,12.267869189591158,14.115592231997569,Survey 2
Weekly,13.694923948364499,0.4687678324804299,12.77615587959195,14.613692017137048,Survey 3
Less than weekly,13.47727472252632,0.3985214676513247,12.696186998863679,14.25836244618896,Survey 1
Less than weekly,13.203111826118517,0.4008102516966908,12.41753816815857,13.988685484078465,Survey 2
Less than weekly,12.907689393650102,0.40383554665705224,12.116186266525235,13.69919252077497,Survey 3
Never,12.793987356384322,0.2623360215765143,12.279818202246831,13.308156510521814,Survey 1
Never,12.195270371256104,0.26472108592125904,11.676426576902102,12.714114165610106,Survey 2
Never,12.187517722653428,0.26410087551666217,11.669889518355275,12.705145926951582,Survey 3
