x,predicted,std.error,conf.low,conf.high,group
Hourly,14.822553501962787,0.7293517743689666,13.393050292139229,16.252056711786345,Survey 1
Hourly,13.116594957033591,0.743238401195521,11.65987445876324,14.573315455303943,Survey 2
Hourly,14.109251061428436,0.7250120656020503,12.688253524491426,15.530248598365446,Survey 3
Up to twice a day,13.980213303707233,0.24503943696611688,13.49994483246167,14.460481774952795,Survey 1
Up to twice a day,13.493064155284411,0.24589192655035627,13.011124835156545,13.975003475412278,Survey 2
Up to twice a day,13.12994006343576,0.24865358488218442,12.642587992439905,13.617292134431613,Survey 3
Daily,13.501875859264612,0.14223895053660493,13.223092639014093,13.78065907951513,Survey 1
Daily,12.967012574506086,0.1424384575838896,12.687838327628226,13.246186821383946,Survey 2
Daily,12.712214961727433,0.14364892590167125,12.430668240542294,12.993761682912572,Survey 3
Several times a week,14.033953827783947,0.20629805919629862,13.629617061678688,14.438290593889205,Survey 1
Several times a week,13.32005705848815,0.2073230445876659,12.913711357931133,13.726402759045166,Survey 2
Several times a week,13.001949857388984,0.20783229356896527,12.594606047169457,13.409293667608512,Survey 3
Weekly,13.374753635649851,0.35847675627808745,12.672152104050056,14.077355167249646,Survey 1
Weekly,13.52451828519645,0.3616432933115799,12.8157104550553,14.2333261153376,Survey 2
Weekly,13.34132052199744,0.36225254507170923,12.631318580348918,14.051322463645963,Survey 3
Less than weekly,13.298701298701287,0.6091934072150116,12.10470416094062,14.492698436461954,Survey 1
Less than weekly,13.073010684135326,0.6169466099051859,11.86381754833708,14.282203819933573,Survey 2
Less than weekly,12.530710018992878,0.6224153842033293,11.310798282530692,13.750621755455063,Survey 3
Never,13.628986422775796,0.7850788095305188,12.090260231070399,15.167712614481193,Survey 1
Never,11.574468085106387,0.779743257928001,10.04619938237958,13.102736787833194,Survey 2
Never,11.38399190503085,0.7850788095305185,9.845265713325453,12.922718096736247,Survey 3
