x,predicted,std.error,conf.low,conf.high,group
Strongly disagree,14.137522558225102,0.5606499793834604,13.038668790700397,15.236376325749807,Survey 1
Strongly disagree,12.61063516673888,0.4884479045883374,11.653294865421683,13.567975468056078,Survey 2
Strongly disagree,12.772796678565832,0.402115517075335,11.984664747473476,13.56092860965819,Survey 3
Disagree,12.150002330401172,0.3665149740163229,11.431646181534546,12.868358479267798,Survey 1
Disagree,12.303906547554217,0.24814304462648715,11.817555117072187,12.790257978036246,Survey 2
Disagree,12.03718714204314,0.2263664856676341,11.593516982827675,12.480857301258604,Survey 3
Neither agree nor disagree,12.604424769263094,0.27046519504235567,12.074322727908475,13.134526810617713,Survey 1
Neither agree nor disagree,12.645025079190713,0.21699687931151115,12.219719010982567,13.070331147398859,Survey 2
Neither agree nor disagree,12.69064341643393,0.20558860573394658,12.28769715356359,13.093589679304271,Survey 3
Agree,13.379056316399305,0.12075093724955967,13.142388828290713,13.615723804507898,Survey 1
Agree,13.02973670342383,0.12144516916077183,12.791708545772343,13.267764861075316,Survey 2
Agree,12.718275905768701,0.1267769252786535,12.469797698151815,12.966754113385587,Survey 3
Strongly agree,14.919430814677458,0.15489217290287358,14.615847734300676,15.22301389505424,Survey 1
Strongly agree,14.534302923138675,0.19298570419915298,14.156057893377236,14.912547952900114,Survey 2
Strongly agree,14.427960473247449,0.21003881065962987,14.016291968998948,14.83962897749595,Survey 3
