x,predicted,std.error,conf.low,conf.high,group
East Midlands,14.422048121609935,0.407490910750158,13.6233806125122,15.22071563070767,Survey 1
East Midlands,13.98065802384003,0.41076675441296356,13.175569979144212,14.785746068535849,Survey 2
East Midlands,14.539863050828352,0.41314419449942624,13.730115309187665,15.349610792469038,Survey 3
East of England,13.849648979625723,0.4129770506717802,13.040228833867461,14.659069125383985,Survey 1
East of England,13.876993946986714,0.41368607852504724,13.066184132172012,14.687803761801415,Survey 2
East of England,13.57169039771036,0.4162693053290986,12.755817551395818,14.3875632440249,Survey 3
London,14.233686023288508,0.251676877995492,13.740408406675861,14.726963639901154,Survey 1
London,13.698491797468593,0.25410178542653356,13.200461449625262,14.196522145311924,Survey 2
London,13.38768197176099,0.253560226050483,12.890713060790208,13.884650882731773,Survey 3
North East,12.937452180155828,0.4698865827848648,12.016491401078895,13.858412959232762,Survey 1
North East,13.00370176846036,0.4685499839477696,12.08536067496591,13.922042861954809,Survey 2
North East,12.629435242426245,0.47354826616262513,11.701297695806113,13.557572789046377,Survey 3
North West,13.995092939594153,0.2956627542322646,13.415604589728996,14.57458128945931,Survey 1
North West,12.93947153598418,0.2945299366699665,12.362203467742184,13.516739604226178,Survey 2
North West,12.774402617846517,0.29750192050695895,12.19130956832138,13.357495667371655,Survey 3
South East,13.170618535491162,0.28536268209204857,12.611317956058993,13.72991911492333,Survey 1
South East,12.431788831513698,0.2853626820920483,11.87248825208153,12.991089410945866,Survey 2
South East,12.097569912097272,0.2856270237506479,11.537751232534635,12.65738859165991,Survey 3
South West,13.440462318860783,0.25914877755101745,12.932540048223206,13.94838458949836,Survey 1
South West,12.793726151656644,0.2595961472412689,12.2849270525384,13.302525250774888,Survey 2
South West,11.85566315272403,0.26395606839328134,11.338318765172408,12.373007540275653,Survey 3
West Midlands,13.82117253313286,0.3980800598007045,13.040949952959927,14.601395113305792,Survey 1
West Midlands,13.770976015402237,0.39880196469327023,12.989338527639614,14.55261350316486,Survey 2
West Midlands,13.938187140943084,0.39880196469327023,13.15654965318046,14.719824628705707,Survey 3
Yorkshire and the Humber,14.260085682615573,0.37113662407352854,13.532671266087677,14.98750009914347,Survey 1
Yorkshire and the Humber,13.459385236534379,0.36939729218356315,12.735379847867977,14.183390625200781,Survey 2
Yorkshire and the Humber,13.29997763013554,0.37536697516162437,12.564271877833015,14.035683382438066,Survey 3
Northern Ireland,13.619705174955923,0.5815314989268411,12.479924381183721,14.759485968728125,Survey 1
Northern Ireland,12.429043630228458,0.5743689135703354,11.303301245791202,13.554786014665714,Survey 2
Northern Ireland,12.573011197120856,0.5885303805339728,11.419512847466617,13.726509546775095,Survey 3
Scotland,13.616504650380275,0.33815805982056396,12.953727032050029,14.27928226871052,Survey 1
Scotland,13.257845601412757,0.3395459565949962,12.592347755390364,13.923343447435151,Survey 2
Scotland,13.258025015673171,0.3404487894951877,12.590757649682345,13.925292381663997,Survey 3
Wales,14.440823041767631,0.5593284456583183,13.344559432748559,15.537086650786703,Survey 1
Wales,13.450734603826657,0.5655094349089138,12.342356478487588,14.559112729165726,Survey 2
Wales,13.001885385043813,0.5720578177772337,11.880672665125859,14.123098104961768,Survey 3
Dublin,12.900658221658357,0.5126158237517436,11.895949669199608,13.905366774117107,Survey 1
Dublin,12.770643243088617,0.5110837603809846,11.76893747965859,13.772349006518645,Survey 2
Dublin,12.142151361593537,0.5110837603809848,11.140445598163508,13.143857125023567,Survey 3
Rest of Ireland,13.12292873107237,0.5809617414780268,11.984264641379768,14.261592820764973,Survey 1
Rest of Ireland,12.96108437541488,0.5765228632916777,11.831120327099281,14.091048423730477,Survey 2
Rest of Ireland,12.271166295755068,0.5765228632916777,11.14120224743947,13.401130344070666,Survey 3
