x,predicted,std.error,conf.low,conf.high,group
Extremely worried,15.287873811563086,0.14680139555364452,15.000148363397726,15.575599259728447,Survey 1
Extremely worried,15.126627780015934,0.16489011769071943,14.803449087935553,15.449806472096315,Survey 2
Extremely worried,14.633461067170655,0.17515486604882213,14.290163837998026,14.976758296343284,Survey 3
Generally worried,13.402491271631819,0.1266424194516156,13.154276690591637,13.650705852672,Survey 1
Generally worried,12.873579051765864,0.12740391954678984,12.623871957964917,13.12328614556681,Survey 2
Generally worried,12.73373618031298,0.12786009909201843,12.4831349910329,12.984337369593058,Survey 3
Neither worried or not worried,11.748799806773505,0.27271104776820687,11.214295974961637,12.283303638585373,Survey 1
Neither worried or not worried,11.820284792913862,0.24008756778118343,11.349721806926922,12.290847778900801,Survey 2
Neither worried or not worried,12.280623920344242,0.22888453381051851,11.832018477457385,12.729229363231099,Survey 3
Generally not worried,11.925606080766656,0.26659517423961937,11.403089140804822,12.44812302072849,Survey 1
Generally not worried,11.71809043070468,0.2294068626406083,11.26846124212276,12.167719619286599,Survey 2
Generally not worried,11.154724867586603,0.23288819833411287,10.698272386427321,11.611177348745885,Survey 3
Not worried at all,11.151652405277115,0.6208236785257202,9.934860354617031,12.3684444559372,Survey 1
Not worried at all,11.580259572334723,0.45764689026272176,10.683288149783035,12.477230994886412,Survey 2
Not worried at all,11.620594116949732,0.46247182975693174,10.714165986761808,12.527022247137657,Survey 3
