x,predicted,std.error,conf.low,conf.high,group
Extremely worried,16.601663208390367,0.247113773166475,16.117329112900276,17.085997303880458,Survey 1
Extremely worried,15.74375039311499,0.2833053430387061,15.18848212413136,16.299018662098618,Survey 2
Extremely worried,15.427881413657593,0.30028805490444516,14.839327641057293,16.01643518625789,Survey 3
Generally worried,14.246704151989185,0.12636796879422563,13.999027484353022,14.494380819625349,Survey 1
Generally worried,13.697346215661645,0.13136589353057623,13.439873795544791,13.954818635778498,Survey 2
Generally worried,13.20978889649328,0.1385517109043924,12.938232533124264,13.481345259862294,Survey 3
Neither worried or not worried,12.59832673145204,0.19994372659012952,12.206444228400663,12.990209234503418,Survey 1
Neither worried or not worried,12.583998218549189,0.1871432932562818,12.21720410381866,12.950792333279718,Survey 2
Neither worried or not worried,12.631110637510275,0.19017819316172632,12.25836822826839,13.00385304675216,Survey 3
Generally not worried,12.364498217468688,0.1725258101624816,12.02635384314663,12.702642591790745,Survey 1
Generally not worried,11.91296629652329,0.16461638213264793,11.590324116278017,12.235608476768563,Survey 2
Generally not worried,12.074628658605707,0.15909884161627535,11.762800659055765,12.38645665815565,Survey 3
Not worried at all,10.917180931953325,0.6064798236604746,9.728502320228593,12.105859543678058,Survey 1
Not worried at all,12.603543734974219,0.5273334640887255,11.56998913751757,13.637098332430867,Survey 2
Not worried at all,12.059900037941436,0.4038288423580616,11.268410051001132,12.85139002488174,Survey 3
