survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,anaes,744,15.204301075268818,0,1,5,12,23,32,79
Survey 2,anaes+ICU,198,17.833333333333332,0,3,6.25,15,24,39.30000000000001,72
Survey 2,ED,1465,16.62184300341297,0,1,5,13,24,38,80
Survey 2,ICU,255,16.4078431372549,0,1,5,12,25,35.599999999999994,84
Survey 2,Other,70,17.9,0,2,8,15,25.75,34.400000000000006,78
Survey 3,anaes,744,11.801075268817204,0,0,2,8,17.25,30.700000000000045,70
Survey 3,anaes+ICU,205,15.04390243902439,0,0,3,9,22,40,74
Survey 3,ED,1466,13.482946793997272,0,0,2,9,20,35,74
Survey 3,ICU,251,13.03585657370518,0,0,2,9,18,32,80
Survey 3,Other,71,15.732394366197184,0,0,3,8,24,39,70
