survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,No,1532,14.930809399477807,0,1,4,11,22,33,84
Survey 2,"Yes, unwell at home",834,17.333333333333332,0,2,6,14,25,38,79
Survey 2,"Yes, unwell and required hospital",120,18.616666666666667,0,3.9000000000000004,7.75,15,24,43,74
Survey 2,"Yes, unwell and required ICU",43,16.11627906976744,0,1,3,9,26.5,30,80
Survey 2,"Yes, died",147,23.333333333333332,0,4,8,21,35.5,51,76
Survey 2,(Missing),56,16.857142857142858,0,1.5,5,10.5,24.5,42,69
Survey 3,No,1349,11.378057820607857,0,0,2,7,16,30,76
Survey 3,"Yes, unwell at home",996,13.46285140562249,0,0,3,10,19,33,80
Survey 3,"Yes, unwell and required hospital",156,17.993589743589745,0,1,4.75,15,26,41,70
Survey 3,"Yes, unwell and required ICU",75,20.32,0,1,6.5,16,30,45,75
Survey 3,"Yes, died",161,18.198757763975156,0,0,4,14,28,42,74
