survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,English / Welsh / Scottish / Northern Irish / British,1693,15.075014766686355,0,1,5,12,21,34,84
Survey 2,Irish,165,16.472727272727273,0,1,6,14,24,37.599999999999994,54
Survey 2,Any other White background,196,16.5765306122449,0,1.5,6,13,24,37,80
Survey 2,White and Black Caribbean,8,18.5,2,5.500000000000001,10,13.5,15.5,32.599999999999994,69
Survey 2,White and Black African,13,18.615384615384617,0,0.40000000000000036,6,21,27,31.400000000000002,42
Survey 2,White and Asian,26,16.615384615384617,0,1,3.25,12,25,34,58
Survey 2,Any other Mixed / Multiple ethnic background,28,17.285714285714285,0,1,6.75,11.5,26.25,39.3,44
Survey 2,Indian,219,21.328767123287673,0,2,7,19,30.5,45.20000000000002,77
Survey 2,Pakistani,56,22.482142857142858,1,2,6.75,16,37.25,51.5,79
Survey 2,Bangladeshi,10,19.1,0,0.8999999999999999,4.25,14.5,27.5,40.599999999999994,64
Survey 2,Chinese,55,14.654545454545454,0,1,4,11,19.5,35.40000000000001,63
Survey 2,Any other Asian background,67,15.865671641791044,0,1,5,12,24.5,34.599999999999994,57
Survey 2,African,45,20.333333333333332,0,3,7,19,28,38.6,63
Survey 2,Caribbean,5,24,1,4.999999999999998,11,14,29,50.59999999999999,65
Survey 2,Any other Black / African / Caribbean background,2,30,15,18,22.5,30,37.5,41.99999999999999,45
Survey 2,Arab,32,16.5625,0,0.09999999999999964,2,7.5,28,38.20000000000002,68
Survey 2,Any other ethnic group,19,23.263157894736842,0,4,7.5,24,34.5,45.199999999999996,66
Survey 2,Prefer not to disclose,33,22.727272727272727,0,1.2000000000000002,4,17,39,49.6,71
Survey 2,(Missing),60,17.15,0,1,5,12,25,38.2,78
Survey 3,English / Welsh / Scottish / Northern Irish / British,1703,11.826189078097475,0,0,2,8,17,30,80
Survey 3,Irish,174,11.982758620689655,0,0,2,7,19,31,66
Survey 3,Any other White background,195,14.584615384615384,0,0,2,10,21,39,74
Survey 3,White and Black Caribbean,9,12.555555555555555,1,1.8,5,6,9,25.399999999999967,63
Survey 3,White and Black African,15,17.4,0,0.8000000000000007,4.5,19,24,37,42
Survey 3,White and Asian,24,15.75,0,0.30000000000000027,2,7.5,23.75,40.99999999999999,64
Survey 3,Any other Mixed / Multiple ethnic background,27,13.25925925925926,0,0,1,6,20.5,37.400000000000006,59
Survey 3,Indian,203,18.635467980295566,0,0,5,14,26,43.80000000000001,70
Survey 3,Pakistani,62,20.612903225806452,0,1,6.25,14,34.25,45,62
Survey 3,Bangladeshi,8,14,0,0,3,6,17,31.999999999999993,60
Survey 3,Chinese,52,12.25,0,0,1,7,18.25,30.9,69
Survey 3,Any other Asian background,65,15.261538461538462,0,0,2,10,19,42.6,69
Survey 3,African,46,13.543478260869565,0,0,3,10.5,21,28,54
Survey 3,Caribbean,7,14.285714285714286,0,2.4000000000000004,5,9,23.5,32.2,34
Survey 3,Any other Black / African / Caribbean background,1,33,33,33,33,33,33,33,33
Survey 3,Arab,28,15.5,0,0,1.75,11,20,35.900000000000006,72
Survey 3,Any other ethnic group,17,22.705882352941178,0,3.4000000000000004,12,18,27,50.60000000000001,69
Survey 3,Prefer not to disclose,39,15.205128205128204,0,1,2.5,12,22,35.400000000000006,60
Survey 3,(Missing),62,14.016129032258064,0,0,2,8,19.75,34.9,62
