survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,0,64,10.375,0,0,1,7.5,14,26,50
Survey 2,1-5,296,14.087837837837839,0,0,4,10,20,32,60
Survey 2,6-10,287,16.313588850174217,0,2,7,14,21,34.80000000000007,68
Survey 2,11-15,256,16.0234375,0,1,5,13,23.25,35,71
Survey 2,16-20,334,14.688622754491018,0,1,5,12,21,31,79
Survey 2,21-25,256,15.1484375,0,2,5,13,23,32,74
Survey 2,26-30,252,17.186507936507937,0,1,4,12.5,27,39,74
Survey 2,31-35,105,18.914285714285715,0,2.4000000000000004,7,17,26,41.60000000000001,79
Survey 2,> 36,871,18.09873708381171,0,1,6,14,26,40,84
Survey 2,(Missing),11,13.454545454545455,0,2,7,13,19.5,26,31
Survey 3,0,58,10.172413793103448,0,0,2,7.5,14.5,24.60000000000001,49
Survey 3,1-5,227,9.929515418502202,0,0,1,7,15,23,61
Survey 3,6-10,219,11.689497716894977,0,0,2,7,16.5,31,72
Survey 3,11-15,213,12.47887323943662,0,0,3,9,19,29.80000000000001,70
Survey 3,16-20,272,12.408088235294118,0,0,2,7,17,35,70
Survey 3,21-25,220,12.281818181818181,0,1,3,9,17.25,29.099999999999994,76
Survey 3,26-30,248,11.463709677419354,0,0,2,7,17,28,69
Survey 3,31-35,123,13.252032520325203,0,1,4,10,20,30,60
Survey 3,> 36,1144,15.01486013986014,0,0,3,10,22,38,80
Survey 3,(Missing),13,17.692307692307693,0,1.4000000000000004,4,12,26,41,47
