survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,0,189,14.042328042328043,0,0,4,10,19,36.20000000000002,66
Survey 2,1-5,653,15.784073506891271,0,1,5,12,23,34.80000000000007,74
Survey 2,6-10,431,15.988399071925754,0,2,5.5,13,23,34,72
Survey 2,11-15,329,15.446808510638299,0,1,6,12,22,33.19999999999999,79
Survey 2,16-20,300,15.373333333333333,0,2,5,12,22,34.10000000000002,74
Survey 2,21-25,189,17.714285714285715,0,1,5,14,26,38,78
Survey 2,>25,524,19.576335877862597,0,2,6,16,28,42,84
Survey 2,(Missing),117,12.64102564102564,0,0,2,9,17,32,66
Survey 3,0,135,9.4,0,0,0,5,12,25,66
Survey 3,1-5,554,11.66245487364621,0,0,2,8,17,28,72
Survey 3,6-10,422,11.793838862559241,0,0,2,8,18,29.900000000000034,61
Survey 3,11-15,297,13.31986531986532,0,0,2,8,20,36,76
Survey 3,16-20,281,12.238434163701067,0,0,2,8,16,33,70
Survey 3,21-25,197,14.030456852791879,0,0,3,10,21,33.400000000000006,62
Survey 3,>25,731,16.16689466484268,0,0,3,11,24,40,80
Survey 3,(Missing),120,11.125,0,0,2,7,15.25,26.10000000000001,59
