survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,Hourly,94,23.627659574468087,0,3,8.25,21,33.75,46.10000000000001,72
Survey 2,Up to twice a day,322,19.372670807453417,0,2,8,17,28,39.900000000000034,84
Survey 2,Daily,479,17.565762004175365,0,1,6,14,26,40,73
Survey 2,Several times a week,424,16.00235849056604,0,2,5,13,23,34,74
Survey 2,Weekly,317,15.230283911671924,0,1,5,10,20,36.80000000000007,79
Survey 2,Less than weekly,392,14.431122448979592,0,0.10000000000000142,5,12,20,31,74
Survey 2,Never,625,14.36,0,1,4,10,20,33.60000000000002,79
Survey 2,(Missing),79,19.151898734177216,0,1.8000000000000007,4.5,16,29.5,43.2,80
Survey 3,Hourly,92,17.5,0,1,4.75,12,24.25,43.900000000000006,69
Survey 3,Up to twice a day,318,15.09433962264151,0,0.7000000000000028,4,11,20,35.30000000000001,70
Survey 3,Daily,482,14.659751037344398,0,0,3,11,22,36,80
Survey 3,Several times a week,440,12.279545454545454,0,0,3,8,18,31.100000000000023,75
Survey 3,Weekly,321,11.457943925233645,0,0,2,6,16,29,70
Survey 3,Less than weekly,391,12.759590792838875,0,0,2,8,19,31,72
Survey 3,Never,624,11.711538461538462,0,0,2,7,16.25,30.700000000000045,76
Survey 3,(Missing),69,16.884057971014492,0,0,2,10,28,45.400000000000006,74
