survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,Hourly,10,27.3,1,9.999999999999998,14.5,20,43.25,51.599999999999994,66
Survey 2,Up to twice a day,99,20.7979797979798,0,1,8.5,17,30,45.400000000000006,84
Survey 2,Daily,481,19.045738045738045,0,2,6,15,28,42,79
Survey 2,Several times a week,791,15.84070796460177,0,2,6,13,23,34,74
Survey 2,Weekly,581,15.240963855421686,0,1,4,11,23,36,78
Survey 2,Less than weekly,393,14.106870229007633,0,1,5,11,20,30.80000000000001,79
Survey 2,Never,288,15.6875,0,1,5,12.5,23,36,72
Survey 2,(Missing),89,19,0,2,4,18,29,41.400000000000006,80
Survey 3,Hourly,11,22.363636363636363,0,0,14,19,25.5,37,69
Survey 3,Up to twice a day,94,16.03191489361702,0,1,5.25,12.5,21,41,63
Survey 3,Daily,488,15.89344262295082,0,0,4,11,23,39,76
Survey 3,Several times a week,788,13.111675126903553,0,0,2,9,20,32.30000000000007,80
Survey 3,Weekly,594,12.094276094276093,0,0,2,6,17,33,74
Survey 3,Less than weekly,394,11.068527918781726,0,0,2,7,15,26,64
Survey 3,Never,287,11.45993031358885,0,0,1,8,17,30,69
Survey 3,(Missing),81,16.59259259259259,0,0,3,11,28,41,74
