survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,Hourly,142,20.070422535211268,0,3,5,15.5,28.75,45.80000000000001,76
Survey 2,Up to twice a day,593,16.903878583473862,0,2,6,13,24,38,84
Survey 2,Daily,1227,16.165444172779136,0,1,5.5,13,24,36.40000000000009,79
Survey 2,Several times a week,506,14.395256916996047,0,1,4,10.5,20,32.5,78
Survey 2,Weekly,117,15.264957264957266,0,1,4,11,20,34,77
Survey 2,Less than weekly,40,17.1,0,1,4.75,14.5,25.75,38.1,66
Survey 2,Never,37,18.216216216216218,0,0,6,16,27,35.599999999999994,79
Survey 2,(Missing),70,21.34285714285714,0,2,5.25,20,30,45,80
Survey 3,Hourly,141,17.858156028368793,0,0,3,12,25,44,74
Survey 3,Up to twice a day,599,14.046744574290484,0,0,3,10,20,35,80
Survey 3,Daily,1238,12.77302100161551,0,0,2,8,19,33,74
Survey 3,Several times a week,507,11.788954635108482,0,0,2,7,18,29.400000000000034,76
Survey 3,Weekly,114,12.649122807017545,0,0,2,9,16.75,29.10000000000001,70
Survey 3,Less than weekly,34,8.882352941176471,0,0,1,3,14.25,24,34
Survey 3,Never,39,10.102564102564102,0,0,1.5,5,12,30.200000000000003,48
Survey 3,(Missing),65,17.83076923076923,0,0,4,11,28,45,74
