survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,Hourly,47,27.085106382978722,0,5.6000000000000005,10.5,24,40.5,51.4,76
Survey 2,Up to twice a day,456,19.29605263157895,0,2.5,7,15,28,41.5,72
Survey 2,Daily,1026,15.633528265107213,0,1,5,12,23,34.5,79
Survey 2,Several times a week,716,15.385474860335195,0,2,5.75,12,23,34,74
Survey 2,Weekly,266,14.281954887218046,0,1,4,11,19,33,77
Survey 2,Less than weekly,115,14.42608695652174,0,0,3,10,24,31.200000000000017,79
Survey 2,Never,41,16.463414634146343,0,3,5,11,25,39,55
Survey 2,(Missing),65,21.076923076923077,0,2,5,20,30,45,84
Survey 3,Hourly,47,24.340425531914892,0,2.200000000000001,9.5,19,36,53.4,74
Survey 3,Up to twice a day,454,15.759911894273127,0,0,4,11,23,39,80
Survey 3,Daily,1044,12.133141762452107,0,0,2,8,18,31,76
Survey 3,Several times a week,712,12.5,0,0,2,8,18,30,75
Survey 3,Weekly,265,12.966037735849056,0,0,2,7,17,36,70
Survey 3,Less than weekly,116,11.344827586206897,0,0,1,7,16.25,29.5,60
Survey 3,Never,40,10.35,0,0,0,6,14.25,29.1,46
Survey 3,(Missing),59,16.728813559322035,0,0,3,11,27.5,41.80000000000001,74
