survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,Hourly,18,22.77777777777778,0,3.7,10.5,25.5,33.75,35.900000000000006,59
Survey 2,Up to twice a day,151,19.033112582781456,0,2,6,16,27.5,40,84
Survey 2,Daily,417,19.381294964028775,0,1,7,16,29,42,72
Survey 2,Several times a week,687,15.56622998544396,0,1,5,12,23,35,74
Survey 2,Weekly,576,15.47048611111111,0,1,5,12,21,34,79
Survey 2,Less than weekly,526,15.365019011406844,0,1,5,12,23,34,66
Survey 2,Never,274,14.656934306569344,0,1,4,11,21.75,36,76
Survey 2,(Missing),83,18.819277108433734,0,1.200000000000001,4,16,28.5,42.8,80
Survey 3,Hourly,17,16.58823529411765,0,1.8000000000000003,6,18,22,31.000000000000004,54
Survey 3,Up to twice a day,160,14.5125,0,0,4,11.5,20,34.099999999999994,63
Survey 3,Daily,428,16.037383177570092,0,0,3,10,25,42,80
Survey 3,Several times a week,683,12.229868228404099,0,0,2,8,18,31,75
Survey 3,Weekly,588,12.724489795918368,0,0,2,8,19,31.300000000000068,76
Survey 3,Less than weekly,523,11.967495219885278,0,0,2,8,18,29.80000000000001,70
Survey 3,Never,265,12.313207547169812,0,0,2,7,17,32.599999999999994,74
Survey 3,(Missing),73,16.356164383561644,0,0,3,11,24,40.39999999999999,74
