survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,Hourly,461,19.308026030368765,0,2,7,17,28,40,76
Survey 2,Up to twice a day,689,16.727140783744556,0,2,7,14,24,37,69
Survey 2,Daily,628,15.888535031847134,0,1,5,12,23,36,79
Survey 2,Several times a week,232,14.620689655172415,0,1.1000000000000014,4,10.5,21,30,74
Survey 2,Weekly,122,17.450819672131146,0,2,5,14,24,41.900000000000006,77
Survey 2,Less than weekly,162,14.932098765432098,0,0.10000000000000142,4,12,22.75,32.900000000000006,60
Survey 2,Never,371,13.148247978436657,0,0,3,9,18,34,79
Survey 2,(Missing),67,21.029850746268657,0,1.6000000000000005,4.5,19,30,45,84
Survey 3,Hourly,456,15.651315789473685,0,0.5,4,10.5,23,37,74
Survey 3,Up to twice a day,706,13.276203966005665,0,0,3,10,19,33,76
Survey 3,Daily,626,12.813099041533546,0,0,2,8,19,34.5,80
Survey 3,Several times a week,243,10.901234567901234,0,0,2,7,16,27,75
Survey 3,Weekly,123,15.504065040650406,0,0,2.5,12,23,34.8,70
Survey 3,Less than weekly,161,13.06832298136646,0,0,2,9,21,31,72
Survey 3,Never,364,10.478021978021978,0,0,1,5,14,26.69999999999999,65
Survey 3,(Missing),58,17.482758620689655,0,0,3,11,27.75,42.20000000000002,74
