survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,Hourly,46,19.23913043478261,0,1.5,5,12.5,28.5,50.5,66
Survey 2,Up to twice a day,423,17.80141843971631,0,2,6.5,14,24.5,40,84
Survey 2,Daily,1261,16.463917525773194,0,1,5,13,25,38,79
Survey 2,Several times a week,617,15.030794165316046,0,1,5,12,22,33,74
Survey 2,Weekly,206,15.266990291262136,0,1,5,13,21,30.5,77
Survey 2,Less than weekly,70,15.885714285714286,0,1,4,14,23.75,38,57
Survey 2,Never,44,14.522727272727273,0,0,2.75,8.5,21.75,35.500000000000014,79
Survey 2,(Missing),65,19.76923076923077,0,2,5,18,29,44.6,80
Survey 3,Hourly,52,18.48076923076923,0,0,2,13,25.25,45,72
Survey 3,Up to twice a day,421,14.116389548693586,0,0,3,10,20,35,80
Survey 3,Daily,1273,13.312647289866458,0,0,2,8,20,34,74
Survey 3,Several times a week,621,11.962962962962964,0,0,2,8,18,30,76
Survey 3,Weekly,202,13.01980198019802,0,0,2,9,17,31.80000000000001,70
Survey 3,Less than weekly,64,10.578125,0,0,1,5.5,14.25,33.10000000000001,52
Survey 3,Never,42,9.738095238095237,0,0,0,5,16,24.799999999999997,48
Survey 3,(Missing),62,16.5,0,0,2.25,10.5,26.25,44.599999999999994,74
