survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,Strongly disagree,71,12.112676056338028,0,0,1,6,17,38,55
Survey 2,Disagree,294,11.187074829931973,0,0,2.25,8,16.75,25,54
Survey 2,Neither agree nor disagree,395,12.984810126582278,0,0,4,9,19,29.600000000000023,74
Survey 2,Agree,1450,15.70896551724138,0,1,5,13,23,34,78
Survey 2,Strongly agree,507,24.272189349112427,0,4,11,21,34,49,84
Survey 2,(Missing),15,17.933333333333334,0,2.4000000000000004,5.5,19,23,40.8,45
Survey 3,Strongly disagree,110,11.00909090909091,0,0,1,6,14,30.300000000000026,66
Survey 3,Disagree,369,8.181571815718158,0,0,0,4,11,22,60
Survey 3,Neither agree nor disagree,450,10.697777777777778,0,0,2,6,16,28.100000000000023,76
Survey 3,Agree,1343,12.750558451228592,0,0,3,9,19,31,80
Survey 3,Strongly agree,441,21.498866213151928,0,2,7,18,32,48,75
Survey 3,(Missing),24,15.416666666666666,0,0,3,8,24.5,40.5,70
