survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,Completely unprepared,21,32.857142857142854,1,3,13,34,42,76,79
Survey 2,Somewhat unprepared,199,23.326633165829147,0,3,8,21,36,48.20000000000002,84
Survey 2,Neither unprepared or prepared,173,19.78034682080925,0,3,8,16,27,41,80
Survey 2,Somewhat prepared,1468,16.399182561307903,0,1,5,13,24,35,77
Survey 2,Very prepared,857,13.586931155192532,0,0,4,10,19,32,79
Survey 2,(Missing),14,11.357142857142858,0,1.2999999999999998,2,7,19.75,25.400000000000002,32
Survey 3,Completely unprepared,27,26.85185185185185,0,0,3.5,24,43,66.4,70
Survey 3,Somewhat unprepared,174,18.528735632183906,0,0,5,14,26.75,46.400000000000034,74
Survey 3,Neither unprepared or prepared,139,20.33093525179856,0,1,5.5,17,31.5,44,75
Survey 3,Somewhat prepared,1316,13.727203647416413,0,0,3,10,20.25,33,74
Survey 3,Very prepared,1072,10.239738805970148,0,0,1,6,14,27,80
Survey 3,(Missing),9,22.444444444444443,0,2.4000000000000004,4,24,37,43,47
