survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,East Midlands,155,19.296774193548387,0,1.3999999999999986,7,15,26.5,41.19999999999999,77
Survey 2,East of England,153,19.444444444444443,0,1,6,17,28,42.80000000000001,66
Survey 2,London,408,19.20343137254902,0,2,7,16,27.25,41.30000000000001,84
Survey 2,North East,118,10.898305084745763,0,0,3,8,16.75,25,53
Survey 2,North West,297,16.255892255892256,0,1,5,12,24,35.400000000000034,69
Survey 2,South East,310,14.483870967741936,0,1,4,10,22,33,79
Survey 2,South West,382,13.717277486910994,0,1,4,10,20,30.900000000000034,62
Survey 2,West Midlands,163,17.380368098159508,0,2,5,15,25,38,79
Survey 2,Yorkshire and the Humber,179,15.893854748603353,0,2,5,12,21.5,38,72
Survey 2,Northern Ireland,80,14.1375,0,0,3.75,9,21.25,32.300000000000026,55
Survey 2,Scotland,230,15.6,0,1,6.25,12,22,33.099999999999994,72
Survey 2,Wales,84,17.86904761904762,0,2.3000000000000007,8,17,24.5,34,68
Survey 2,Dublin,99,16.8989898989899,0,2,6,15,25.5,35.60000000000001,62
Survey 2,Rest of Ireland,74,19.12162162162162,0,1,6,16.5,28.75,42,71
Survey 3,East Midlands,151,14.841059602649006,0,1,4,9,19.5,37,74
Survey 3,East of England,147,16.12925170068027,0,0,2,10,22,44,72
Survey 3,London,391,15.764705882352942,0,0,3,11,23,39,75
Survey 3,North East,119,10.647058823529411,0,0,1,8,14.5,26.200000000000003,76
Survey 3,North West,303,13.501650165016502,0,1,3,10,19,33,74
Survey 3,South East,315,11.774603174603175,0,0,1,7,18,33,62
Survey 3,South West,385,10.275324675324676,0,0,2,7,15,25,65
Survey 3,West Midlands,157,14.566878980891719,0,0,3,11,21,36.400000000000006,59
Survey 3,Yorkshire and the Humber,187,12.566844919786096,0,0,3,9,18,29,66
Survey 3,Northern Ireland,79,10.936708860759493,0,0,1,6,18.5,28.200000000000003,60
Survey 3,Scotland,232,12.689655172413794,0,0,2,8,19,33,80
Survey 3,Wales,86,15.709302325581396,0,0.5,3,10,22,41,72
Survey 3,Dublin,104,13.48076923076923,0,0,2,8,21,31,66
Survey 3,Rest of Ireland,81,12.617283950617283,0,0,2,7,23,28,65
