survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,Strongly disagree,101,30.77227722772277,0,6,13,27,43,66,84
Survey 2,Disagree,130,22.06923076923077,0,3.9000000000000004,8.25,19,30,45,78
Survey 2,Neither agree nor disagree,377,18.02917771883289,0,2,7,16,26,39,63
Survey 2,Agree,1270,15.795275590551181,0,1,5,12,24,35.100000000000136,80
Survey 2,Strongly agree,841,13.750297265160523,0,1,4,10,20,30,69
Survey 2,(Missing),13,17.923076923076923,0,2.2,5,19,26,37.60000000000001,45
Survey 3,Strongly disagree,111,25.324324324324323,0,0,5,22,41,60,74
Survey 3,Disagree,231,17.307359307359306,0,1,5,13,25,39,75
Survey 3,Neither agree nor disagree,526,14.44296577946768,0,0,3,10,22,33.5,80
Survey 3,Agree,1308,11.57874617737003,0,0,2,8,17,30,72
Survey 3,Strongly agree,539,11.315398886827458,0,0,1,7,16,32,76
Survey 3,(Missing),22,16.772727272727273,0,0.10000000000000009,3.25,9.5,25.5,41.500000000000014,70
