survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,Strongly disagree,25,18,0,4.4,8,14,23,38.6,63
Survey 2,Disagree,48,29.229166666666668,3,7.4,16,24.5,38.5,55,73
Survey 2,Neither agree nor disagree,209,21.014354066985646,0,1.8000000000000007,6,18,31,44.20000000000002,79
Survey 2,Agree,1329,16.322799097065463,0,1,5,13,24,37,78
Survey 2,Strongly agree,1101,14.853769300635786,0,1,5,11,21,32,84
Survey 2,(Missing),20,16.95,0,1.8000000000000007,6.5,13.5,27,39,45
Survey 3,Strongly disagree,31,14.838709677419354,0,0,1.5,9,24,41,66
Survey 3,Disagree,76,24.539473684210527,0,3,7.75,20,40.5,59,75
Survey 3,Neither agree nor disagree,323,18.006191950464395,0,0.20000000000000284,4,13,28,42.80000000000001,74
Survey 3,Agree,1512,12.28042328042328,0,0,2,8,18,31,76
Survey 3,Strongly agree,770,11.57922077922078,0,0,2,7,17,30,80
Survey 3,(Missing),25,15.76,0,0,3,9,26,40.00000000000001,70
