survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,0,1119,14.83467381590706,0,1,4,11,21,34,84
Survey 2,1-5,1111,16.382538253825384,0,1,5,13,24,37,79
Survey 2,6-10,313,18.926517571884983,0,2,6,15,26,41.80000000000001,73
Survey 2,11-15,110,20.763636363636362,0,2,6,19.5,31.75,45,78
Survey 2,16-20,41,19,0,3,7,17,28,39,69
Survey 2,21-25,5,25.2,5,10.999999999999998,20,21,38,40.4,42
Survey 2,26-30,8,24.875,0,3.500000000000001,13.25,23.5,36.75,48.6,50
Survey 2,31-35,1,19,19,19,19,19,19,19,19
Survey 2,> 36,11,28.545454545454547,2,10,14.5,21,32,66,80
Survey 2,(Missing),13,14.23076923076923,0,2.6000000000000005,9,16,19,24.800000000000004,30
Survey 3,0,943,10.64475079533404,0,0,1,7,16,27,70
Survey 3,1-5,1026,12.864522417153996,0,0,2,9,19,32,75
Survey 3,6-10,389,14.503856041131105,0,0,3,10,21,36,80
Survey 3,11-15,175,16.64,0,0,3,11,26.5,40,74
Survey 3,16-20,91,19.439560439560438,0,0,4,14,33.5,46,69
Survey 3,21-25,44,19.40909090909091,0,0.2999999999999998,4,14.5,29,42.500000000000014,72
Survey 3,26-30,23,23.391304347826086,0,2.2,11,19,35.5,44,54
Survey 3,31-35,5,29,14,18.8,26,28,32,39.8,45
Survey 3,> 36,28,24.5,0,3,6.5,16,38.25,57.400000000000006,74
Survey 3,(Missing),13,18.153846153846153,0,3.2,4,13,26,41,47
