survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,Extremely worried,720,25.531944444444445,0,5,14,23,36,49,84
Survey 2,Generally worried,1254,14.777511961722489,0,1,5,12,21,31.700000000000045,77
Survey 2,Neither worried or not worried,313,9.89776357827476,0,0,3,7,14,23,54
Survey 2,Generally not worried,340,10.502941176470589,0,0,2,7,14,25,79
Survey 2,Not worried at all,86,8.918604651162791,0,0,2,7,13.75,17.5,41
Survey 2,(Missing),19,14.789473684210526,0,0,2,12,23,31.799999999999994,45
Survey 3,Extremely worried,654,22.288990825688074,0,3,9,19,32,46,80
Survey 3,Generally worried,1275,11.729411764705882,0,0,2,8,17,28.600000000000136,76
Survey 3,Neither worried or not worried,353,8.51841359773371,0,0,1,4,12,24,58
Survey 3,Generally not worried,345,6.71304347826087,0,0,1,4,9,18,59
Survey 3,Not worried at all,84,9.035714285714286,0,0,0,2.5,10,33.10000000000001,63
Survey 3,(Missing),26,15.576923076923077,0,0.5,4.25,9.5,22.75,39.5,70
