survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,Extremely worried,217,28.77880184331797,0,6.600000000000001,15,26,41,55.80000000000001,80
Survey 2,Generally worried,1185,18.49367088607595,0,2,8,16,26,38,77
Survey 2,Neither worried or not worried,526,13.093155893536121,0,1,4,9.5,19,30,74
Survey 2,Generally not worried,730,11.938356164383562,0,0,3,8.5,17,27,84
Survey 2,Not worried at all,60,10.75,0,0,0,6,16.25,29.400000000000006,55
Survey 2,(Missing),14,16,0,0.5999999999999996,5,16.5,20.75,35.10000000000001,45
Survey 3,Extremely worried,198,24.883838383838384,0,2.700000000000003,9,21,34.75,58.30000000000001,74
Survey 3,Generally worried,1078,15.260667903525047,0,1,4,11,22.75,37,80
Survey 3,Neither worried or not worried,515,11.161165048543689,0,0,2,7,16,29,76
Survey 3,Generally not worried,805,9.237267080745342,0,0,1,5,14,24,59
Survey 3,Not worried at all,113,9.123893805309734,0,0,1,5,13,28.39999999999999,60
Survey 3,(Missing),28,15.214285714285714,0,0.7000000000000002,3.75,9.5,24,38.5,70
