x,predicted,std.error,conf.low,conf.high,group
20-25,17.97639723605434,1.3811580228586182,15.269377254292898,20.68341721781578,Survey 2
20-25,14.208359442179171,1.390605618122083,11.48282251396083,16.933896370397512,Survey 3
26-30,17.64701282694705,0.5396772211283453,16.589264910258837,18.704760743635266,Survey 2
26-30,14.335049604452546,0.5394914520233757,13.277665788519512,15.392433420385581,Survey 3
31-35,17.168797440619148,0.5675162826224115,16.056485966039165,18.28110891519913,Survey 2
31-35,13.675026431184246,0.569987502317541,12.557871455003927,14.792181407364566,Survey 3
36-40,15.45563532019155,0.6668241529152523,14.148683996456226,16.762586643926873,Survey 2
36-40,12.883560190097139,0.6698135250762587,11.570749804589855,14.196370575604423,Survey 3
41-45,15.628572603862183,0.7439162627706262,14.170523521318122,17.086621686406247,Survey 2
41-45,12.348322936840852,0.7434071946459757,10.891271609486783,13.80537426419492,Survey 3
46-50,15.05208029323514,0.9106371868980214,13.267264203932148,16.836896382538132,Survey 2
46-50,12.706507067253348,0.9029519335235718,10.936753797776342,14.476260336730354,Survey 3
51-55,14.570846345354653,1.076491004763241,12.460962746337366,16.68072994437194,Survey 2
51-55,11.34776356754215,1.0563278705115213,9.27739898547368,13.418128149610622,Survey 3
56-60,16.296986867821843,1.4730677947119168,13.409827043400645,19.18414669224304,Survey 2
56-60,12.374138515799418,1.481497709475395,9.47045636204906,15.277820669549776,Survey 3
>60,12.097567850361273,2.256205939386897,7.675485467457595,16.51965023326495,Survey 2
>60,9.728352612968715,2.1822586197998963,5.451204313208832,14.005500912728598,Survey 3
