x,predicted,std.error,conf.low,conf.high,group
Not confident at all,22.291136641621385,1.0090179256243141,20.313497847642417,24.268775435600354,Survey 2
Not confident at all,21.367067362717155,1.0534314790633659,19.3023796035722,23.43175512186211,Survey 3
Somewhat not confident,18.294780970413992,0.5802296703903674,17.157551713687326,19.43201022714066,Survey 2
Somewhat not confident,14.668624651091324,0.5778260895115966,13.536106326320978,15.801142975861671,Survey 3
Neither not confident or confident,17.000843721006056,0.5526707289185709,15.917628997016159,18.084058444995954,Survey 2
Neither not confident or confident,13.525834353474846,0.521048812224791,12.504597447326882,14.54707125962281,Survey 3
Somewhat confident,15.92962511452277,0.3256922436693108,15.291280046886877,16.56797018215866,Survey 2
Somewhat confident,12.80696196418058,0.3326705310231332,12.154939704657425,13.458984223703736,Survey 3
Very confident,14.592473642071706,0.5109308993732954,13.59106748071139,15.593879803432023,Survey 2
Very confident,11.306062767011685,0.49454499250521033,10.336772392966843,12.275353141056527,Survey 3
