x,predicted,std.error,conf.low,conf.high,group
English / Welsh / Scottish / Northern Irish / British,15.107479159290198,0.33703912253142043,14.446894617747633,15.768063700832764,Survey 2
English / Welsh / Scottish / Northern Irish / British,11.76938613636204,0.3365543201142014,11.109751790096842,12.429020482627239,Survey 3
Irish,16.6312634242539,1.0760887522975826,14.522168225581993,18.740358622925804,Survey 2
Irish,12.013529371789067,1.0623069926636362,9.931445925643285,14.09561281793485,Survey 3
Any other White background,16.981913094613542,0.9948906492643067,15.03196325349983,18.931862935727253,Survey 2
Any other White background,14.55943948724872,0.9961265006253849,12.607067421977051,16.511811552520392,Survey 3
White and Black Caribbean,17.534730216390322,4.869041871695533,7.991583508649585,27.07787692413106,Survey 2
White and Black Caribbean,12.555555555555552,4.733475391916008,3.27811426569356,21.832996845417544,Survey 3
White and Black African,17.895066694271502,3.7953639662228795,10.456290012253566,25.333843376289437,Survey 2
White and Black African,17.399999999999988,3.6665342725146672,10.213724877789474,24.586275122210502,Survey 3
White and Asian,16.920743034793166,2.7572552843356397,11.516621981312568,22.324864088273763,Survey 2
White and Asian,15.1476037070138,2.811341729554378,9.637475168852676,20.657732245174927,Survey 3
Any other Mixed / Multiple ethnic background,16.423242747549455,2.593466184262733,11.34014243127198,21.506343063826932,Survey 2
Any other Mixed / Multiple ethnic background,14.502493853969652,2.6175993653981315,9.372093371834413,19.63289433610489,Survey 3
Indian,21.440642315021876,0.9313235266785473,19.615281744777096,23.266002885266655,Survey 2
Indian,19.2410963813302,0.9495126443836786,17.3800857954728,21.102106967187595,Survey 3
Pakistani,22.6003566433185,1.8066955274229832,19.059298478539855,26.141414808097142,Survey 2
Pakistani,20.912586869479355,1.7607834408851935,17.461514740769864,24.363658998188846,Survey 3
Bangladeshi,18.34866485596464,4.381955565677531,9.76018976538184,26.93713994654744,Survey 2
Bangladeshi,14.27013378587452,4.646797690902686,5.162577668261372,23.37768990348767,Survey 3
Chinese,14.355181766998689,1.896750632732791,10.63761883918886,18.072744694808517,Survey 2
Chinese,12.253152673478883,1.922540896943608,8.485041756664081,16.021263590293685,Survey 3
Any other Asian background,15.779388646363245,1.6850505085854866,12.476750337404791,19.082026955321698,Survey 2
Any other Asian background,15.612762255734328,1.697900619939155,12.284938191325354,18.9405863201433,Survey 3
African,19.88153620031302,2.0496143963046998,15.864365801361004,23.898706599265033,Survey 2
African,13.29843822396931,2.038451847212264,9.303146019214129,17.29373042872449,Survey 3
Caribbean,25.775049603518738,5.7073728050799595,14.588804459218679,36.9612947478188,Survey 2
Caribbean,14.622755182463395,5.192369533526469,4.445897902328479,24.79961246259831,Survey 3
Any other Black / African / Caribbean background,30.000000000000018,10.041217644610384,10.319575055635557,49.680424944364475,Survey 2
Any other Black / African / Caribbean background,43.97359332945734,12.15278208619871,20.154578128544326,67.79260853037034,Survey 3
Arab,16.562500000000025,2.510304411152597,11.642393763908908,21.482606236091144,Survey 2
Arab,14.57900198842057,2.592307340880421,9.498172963436149,19.65983101340499,Survey 3
Any other ethnic group,23.263157894736825,3.2578011923839694,16.877984888872604,29.648330900601046,Survey 2
Any other ethnic group,21.478289456229945,3.3456880448252515,14.920861384866223,28.03571752759367,Survey 3
Prefer not to disclose,22.014531211040364,2.3273968129762546,17.452917279873603,26.576145142207125,Survey 2
Prefer not to disclose,15.016727671630441,2.2304378717562585,10.645149773234007,19.388305570026876,Survey 3
