x,predicted,std.error,conf.low,conf.high,group
0,14.085349153979541,0.827671228191438,12.46314335568429,15.707554952274792,Survey 2
0,9.915246365101455,0.9778388759382617,7.998717385579332,11.831775344623576,Survey 3
1-5,15.934907877015121,0.4665164903128381,15.02055235780793,16.849263396222312,Survey 2
1-5,11.831779148448607,0.5007901090521778,10.850248570892452,12.813309726004762,Survey 3
6-10,16.246540563028365,0.5330882671370114,15.201706758858956,17.291374367197776,Survey 2
6-10,12.228206021931522,0.5409843798829863,11.167896121162133,13.28851592270091,Survey 3
11-15,16.728075548672027,0.5954140262086712,15.561085501413045,17.895065595931012,Survey 2
11-15,13.618513860337833,0.6229307481553867,12.397592029090685,14.839435691584981,Survey 3
16-20,16.225199222412314,0.6192912333016509,15.011410709199687,17.43898773562494,Survey 2
16-20,13.346416635936139,0.6339087781621046,12.103978261254623,14.588855010617655,Survey 3
21-25,17.777484731191,0.7650849028213096,16.277945876545907,19.27702358583609,Survey 2
21-25,14.068064082951919,0.7503888455361769,12.597328971300422,15.538799194603415,Survey 3
>25,18.339457855924323,0.5161651151922848,17.327792820071476,19.35112289177717,Survey 2
>25,15.268905461096193,0.4525678938477624,14.381888688595431,16.155922233596954,Survey 3
