x,predicted,std.error,conf.low,conf.high,group
Hourly,23.583945560190408,1.4295518013812947,20.782075515448714,26.3858156049321,Survey 2
Hourly,17.289439234670837,1.4371177305253013,14.47274024129731,20.106138228044365,Survey 3
Up to twice a day,19.127010541966374,0.7722857228615737,17.613358339383208,20.64066274454954,Survey 2
Up to twice a day,15.416071203100065,0.7746528933386901,13.897779431636485,16.934362974563644,Survey 3
Daily,17.53736772355733,0.6299206854362975,16.302745866985404,18.771989580129258,Survey 2
Daily,14.711437913301603,0.62895168205039,13.478715268466953,15.944160558136254,Survey 3
Several times a week,16.084560338692373,0.6685984870335159,14.774131383988712,17.394989293396034,Survey 2
Several times a week,12.442617341151026,0.6625593118229696,11.144024952356363,13.74120972994569,Survey 3
Weekly,15.365697084282225,0.7774895549977279,13.841845558130604,16.889548610433845,Survey 2
Weekly,11.295242071262209,0.7751185128711111,9.776037702284585,12.814446440239832,Survey 3
Less than weekly,14.58665703010557,0.700240648629345,13.214210578281088,15.959103481930052,Survey 2
Less than weekly,12.725291595535854,0.7006768794244368,11.351990147064043,14.098593044007664,Survey 3
Never,14.448319034584369,0.556438723475744,13.35771917696847,15.538918892200268,Survey 2
Never,11.65412901081352,0.5566541891407641,10.563106848254275,12.745151173372765,Survey 3
