x,predicted,std.error,conf.low,conf.high,group
Hourly,20.037591691184016,1.1680534647950755,17.748248968168443,22.326934414199588,Survey 2
Hourly,17.720353634195995,1.1700713096629831,15.427056007912935,20.013651260479055,Survey 3
Up to twice a day,16.91342168395048,0.5679173334519466,15.800324164188641,18.026519203712322,Survey 2
Up to twice a day,14.15879123297082,0.5665078124659282,13.04845632357703,15.26912614236461,Survey 3
Daily,16.220884870443033,0.3965549317820223,15.443651486258531,16.998118254627535,Survey 2
Daily,12.692116710698512,0.3956915056804051,11.916575610576492,13.467657810820532,Survey 3
Several times a week,14.51242782540244,0.6191451093097323,13.29892570995125,15.72592994085363,Survey 2
Several times a week,11.912412770558012,0.6188478981508689,10.699493178273997,13.125332362842027,Survey 3
Weekly,14.953802876734553,1.291266607978317,12.42296683065785,17.484638922811254,Survey 2
Weekly,12.633408827937336,1.2994633053434181,10.086507550232861,15.18031010564181,Survey 3
Less than weekly,17.51046229944744,2.209662351313013,13.179603672879843,21.841320926015037,Survey 2
Less than weekly,10.528418392342678,2.3025615924864273,6.015480598884088,15.041356185801266,Survey 3
Never,18.2363927748935,2.2793815539238036,13.768887022177902,22.7038985276091,Survey 2
Never,10.995205903405116,2.250534136758903,6.584240049379727,15.406171757430506,Survey 3
