x,predicted,std.error,conf.low,conf.high,group
Hourly,26.682497620868475,2.010114067395401,22.74274644395617,30.622248797780777,Survey 2
Hourly,24.78443114961316,2.010114067395145,20.844679972701357,28.72418232652496,Survey 3
Up to twice a day,19.34020541633786,0.6467941147882588,18.072512245940406,20.607898586735313,Survey 2
Up to twice a day,15.691336622402828,0.6474954772641404,14.42226880681254,16.960404437993116,Survey 3
Daily,15.650293368019403,0.4285509695953924,14.810348902072715,16.49023783396609,Survey 2
Daily,12.26327789510606,0.42670158323773427,11.426958159813882,13.09959763039824,Survey 3
Several times a week,15.436675762749728,0.5180278700965246,14.421359794372545,16.45199173112691,Survey 2
Several times a week,12.530681750438598,0.5187379676750361,11.513974016382024,13.547389484495172,Survey 3
Weekly,14.398157558532766,0.8510691313898684,12.730092712654837,16.066222404410695,Survey 2
Weekly,12.832819973158953,0.8518503196326132,11.163224026460098,14.502415919857809,Survey 3
Less than weekly,14.470455067633422,1.285626714402564,11.950673009841836,16.990237125425008,Survey 2
Less than weekly,11.167524625142356,1.2828841616282476,8.65311787201413,13.681931378270582,Survey 3
Never,16.765717028411537,2.168844286942105,12.514860337929557,21.016573718893518,Survey 2
Never,9.673622740905778,2.1819958058238123,5.3969895470736535,13.950255934737902,Survey 3
